DATE;ATM_30;ATM_60;ATM_90;C25_180;C25_30;C25_360;C25_60;C25_90;P75_30;P75_60;P75_90;RV30;RV60;RV90;OVX;GPR;InfectEMVIndex;W875RX1;DPCERA3M086SBEA;CMRMTSPL;IPCONGD;IPNCONGD;IPNMAT;UNRATE;UEMPLT5;UEMP5TO14;UEMP15T26;ICSA;USGOVT;CES0600000007;AWOTMAN;AWHMAN;HOUST;HOUSTW;TB3SMFFM;T5YFFM;EXSZUS;VIXCLS;AVGCLOSECO1;AVGHIGHCO1;AVGLOWCO1;AVGCLOSECO3;AVGHIGHCO3;AVGLOWCO3;AVGCLOSECO6;AVGHIGHCO6;AVGLOWCO6;ATM_180;ATM_270;ATM_360;C25_270;P75_180;P75_270;P75_360;BRENT;MichiganConsumer;FinancialUncertaintyH1;FinancialUncertaintyH3;FinancialUncertaintyH12;MacroUncertaintyH1;MacroUncertaintyH3;MacroUncertaintyH12;RealUncertaintyH1;RealUncertaintyH3;RealUncertaintyH12;RPI;IPBUSEQ;IPFUELS;CLF16OV;UEMPMEAN;USGOOD;CES1021000001;USCONS;DMANEMP;NDMANEMP;USTPU;USWTRADE;HOUSTNE;DGORDER;AMDMUO;BUSINV;M1SL;M2REAL;BOGMBASE;NONBORRES;BUSLOANS;NONREVSL;NONREVSLAR;FEDFUNDS;TB3MS;GS5;GS10;TB6SMFFM;T1YFFM;T10YFFM;AAAFFM;EXJPUS;EXUSUK;EXCAUS;WPSFD49502;WPSID61;PPICMM;CPIAPPSL;CPIMEDSL;DDURRG3M086SBEA;CES0600000008;CES2000000008;DTCOLNVHFNM;DTCTHFNM;INVEST;REALLN;TB6MS;GS1;CUSR0000SAD;CUSR0000SAS;DSERRG3M086SBEA
1.03.2010;30.00565217;30.62826087;30.93347826;29.4573913;28.98391304;27.71391304;29.38608696;29.58391304;31.6926087;32.63217391;33.19608696;29.21205889;30.98151923;29.18896161;31.95;74.11694336;0.32516129;10529.1;96.286;1182072;97.2329;103.175;100.4782;9.9;2769;3294;2542;470250;22518;40;3.6;41;636;133;-0.01;2.27;1.0666;17.77;5.141304348;5.042695652;4.949695652;4.933043478;4.798065217;5.33923913;4.428826087;4.345891304;4.84723913;-1.533956522;-1.681195652;-1.788869565;-1.932826087;-2.02173913;-2.218413043;-1.945304348;5.08;0;0.017839305;0.012874007;0.003351095;-0.009019315;-0.011639499;-0.006313521;0.010528367;0.004983089;0.000398037;48.962;1.5757;2.6594;260;1.8;44;5.6;37;11;-11;46;-0.6;-5;1698;2453;5974;12.1;-2.6;-35600;-21500;-13.5115;10.9783;12.7;0.03;0.04;0.07;0.04;0.01;0.02;0.01;-0.11;0.5766;-0.056;-0.0343;1.6;0.9;12.3;0.041;1.404;-0.148;0.02;0.03;40404.04;-9439.23;-10.185;-53.5312;0.07;0.05;-0.251;0.509;0.337
1.04.2010;28.199;28.638;28.9165;28.9425;27.4885;27.828;27.4585;27.788;29.52;30.4555;30.917;27.53060402;28.08669044;29.95446424;28.38;88.76158142;0.242333333;10638.7;96.483;1192644;96.4264;102.0182;101.0276;9.9;2725;3086;2330;469000;22569;40.6;3.7;41.1;687;108;-0.04;2.38;1.069;17.42;5.822505176;5.715113872;6.025113872;6.339337474;6.203291925;6.393975155;6.573126294;6.375465839;6.512546584;-0.818043478;-0.827804348;-0.370630435;-0.686673913;-1.17726087;-0.963086957;-0.818695652;5.99;-1.4;0.018264315;0.0130875;0.003363121;-0.024727304;-0.024810637;-0.010212901;-0.010382243;-0.011115749;-0.006033193;105.735;1.0074;0.6654;668;1.7;57;4.8;16;30;6;4;0;17;800;694;5003;-12.9;13.2;-65200;-55600;-2.5699;-2.51047;-9.93;0.04;0.01;0.15;0.12;-0.02;0.01;0.08;-0.02;2.7366;0.0274;-0.0177;-0.1;1.4;11;-0.579;0.877;-0.395;0.03;-0.05;-1618.71;-5271.38;-2.5379;-7.0605;0.06;0.1;-0.414;0.702;0.377
1.05.2010;37.94736842;36.30736842;34.96315789;33.28684211;36.54842105;30.74315789;34.78894737;33.54421053;40.76894737;39.42315789;38.32578947;37.4987935;32.91863523;31.72485635;40.4;88.95870972;0.215806452;10740.6;96.723;1188910;98.236;103.4199;101.4205;9.6;2773;3127;2260;459400;22996;40.5;4;41.4;583;113;-0.04;1.98;1.1295;31.93;-8.756190476;-7.792857143;-7.533333333;-8.377619048;-7.32;-8.470952381;-7.784285714;-6.684761905;-7.87952381;4.715526316;3.887026316;3.264131579;4.153447368;5.592157895;4.323842105;3.854736842;-8.87;1.4;0.042753391;0.029961816;0.007586036;-0.008805147;-0.011993466;-0.005266034;0.004030382;-0.004034392;-0.004635542;102.561;1.5347;-0.3966;-531;0.7;12;8.7;-33;27;9;15;-3.7;-10;6984;5579;4205;11.1;27.2;-2100;-1500;-10.737;2.93062;3.99;0;0;-0.4;-0.43;-0.02;-0.08;-0.43;-0.33;-1.4797;-0.0663;0.0351;-0.1;0.7;-17.7;0.002;0.505;-0.28;0.03;0.04;-2510.49;-5595.23;-11.8377;-4.4225;0;-0.03;-0.477;0.59;0.33
1.06.2010;36.02136364;35.62;35.69636364;33.23045455;34.07818182;31.57318182;33.42318182;33.51909091;39.55272727;39.53863636;39.63227273;36.81865347;37.64958727;34.57313853;39.63;96.4536972;0.271666667;10755.9;96.958;1200366;97.9887;103.3492;102.2181;9.4;2683;3159;2284;460500;22740;40.3;3.8;41;536;109;-0.06;1.82;1.1255;29.92;-1.338982684;-1.907316017;-2.283658009;-1.95021645;-2.533311688;-2.047943723;-2.20030303;-2.888549784;-2.198852814;0.583564593;0.696291866;0.951913876;0.058325359;1.022751196;1.752248804;1.722535885;-1.19;2.4;0.004573675;0.003386582;0.000963125;-0.035668323;-0.027386999;-0.010344493;-0.036300206;-0.022962007;-0.004548672;16.142;0.4975;-0.5454;-475;0.5;21;5.7;-4;19;1;21;4;-10;-4265;531;9847;21.5;10.4;-9900;-6400;-6.6191;2.28079;-0.48;-0.02;-0.04;-0.18;-0.22;-0.01;-0.03;-0.2;-0.06;-1.1671;0.0099;-0.0027;-0.9;-1.1;-11.4;-0.025;1.094;-0.347;0.03;0.06;-2042.29;-3982.34;-8.8439;-31.1233;-0.05;-0.13;-0.408;0.516;0.259
1.07.2010;33.04090909;33.84363636;34.2;32.70227273;31.93181818;31.12045455;32.47909091;32.65818182;34.70136364;35.80090909;36.34909091;29.53023796;33.20596617;35.12125556;34.5;79.38137817;0.284516129;10789.5;97.224;1210538;98.6369;103.0919;102.0167;9.4;2806;2972;2208;459200;22569;40.3;3.8;41.1;546;107;-0.02;1.58;1.053;25.57;-0.302272727;-0.435;-0.736818182;-0.644090909;-0.784090909;-0.614545455;-0.664090909;-0.843181818;-0.601818182;-1.080909091;-0.448181818;-0.132272727;-0.257272727;-3.098636364;-2.726363636;-2.252727273;0.82;-8.2;-0.005468054;-0.003735954;-0.001045085;-0.018366081;-0.016516385;-0.009911673;-0.018308772;-0.013700025;-0.006093344;34.877;0.8019;1.6298;75;-0.6;15;6.4;-8;11;5;22;1.8;14;1839;-492;12191;-7.6;-2.8;-8100;-7400;-1.1333;6.50823;3.09;0;0.04;-0.24;-0.19;0.01;-0.03;-0.19;-0.16;-3.3054;0.0536;0.0046;0.3;-0.4;-0.6;-0.301;-0.065;-0.451;0.05;0.04;-1444.82;-1925.8;57.7594;-38.5798;-0.02;-0.08;-0.121;0.593;0.165
1.08.2010;31.97619048;32.79952381;33.38238095;32.20619048;31.05666667;30.70952381;31.5452381;31.88428571;33.35809524;34.5947619;35.47095238;33.15238723;31.45923673;33.22612912;33.18;80.99386597;0.199354839;10811.8;97.459;1211152;98.3884;103.619;102.7329;9.5;2671;3534;2162;475000;22420;40.5;3.9;41.2;599;136;-0.03;1.28;1.0388;24.75;1.758636364;1.848636364;1.943181818;1.952272727;1.999545455;2.164090909;1.983636364;1.999545455;2.191818182;-0.399372294;-0.262922078;-0.321796537;-0.328095238;-0.380606061;-0.327012987;-0.358354978;1.46;1.1;-0.002123443;-0.002086026;-0.001427852;-0.016338257;-0.014945533;-0.008732943;-0.013842695;-0.009363675;-0.00330531;52.812;0.0527;-0.5281;395;-0.2;16;7.6;16;7;-15;11;1.8;-1;4239;4273;11832;24.7;17.3;-600;3100;-1.1484;5.75568;-0.57;0.01;0;-0.29;-0.31;-0.02;-0.04;-0.32;-0.24;-2.1278;0.0357;-0.0018;1.3;0.9;15.5;-0.362;0.936;0.077;0.04;0.05;-2432.29;-2553.52;36.2244;-27.2089;0;-0.06;0.25;0.534;0.189
1.09.2010;30.88272727;31.72772727;32.66727273;32.035;30.20454545;30.88772727;30.75909091;31.55863636;31.92545455;33.10545455;34.40318182;27.04369419;30.47100184;30.17045731;31.71;71.16854858;0.19;10824.2;97.551;1210964;98.0077;103.1123;102.8615;9.5;2819;3308;2291;453500;22247;40.6;4;41.4;594;133;-0.04;1.22;1.0002;22.52;1.302272727;0.896818182;0.746363636;0.984545455;0.634090909;0.746818182;0.814090909;0.591818182;0.536363636;-0.311536797;-0.180714286;0.042251082;-0.018722944;-0.34030303;-0.398441558;-0.111645022;0.8;-0.7;-0.020662297;-0.014855063;-0.004195399;-0.007033496;-0.007067833;-0.004258071;-0.005881083;-0.004394936;-0.001431532;9.468;0.3694;-0.2149;-111;-0.3;-6;8.2;-23;15;-5;26;6.2;-5;10187;12465;15232;17.5;7.7;-32500;-29700;-1.898;6.36635;0.43;0;-0.01;-0.06;-0.05;0;0;-0.05;0.04;-1.0156;-0.007;-0.0074;0.8;0.7;6.3;0.25;2.229;-0.105;0.03;-0.02;-3444.23;-6701.83;25.7691;-19.8184;-0.01;-0.03;0.198;0.359;0.16
1.10.2010;31.56761905;31.70428571;31.83857143;30.67285714;30.83666667;29.03904762;30.77571429;30.89333333;32.74380952;33.13095238;33.21714286;22.00606507;24.6984582;27.94011313;32.38;65.99193573;0.359354839;10840.9;97.799;1217216;98.0026;102.9569;101.853;9.4;2655;3345;2387;446800;22297;40.6;4;41.2;543;101;-0.06;0.99;0.9686;20.37;5.118917749;5.338290043;5.446168831;5.116536797;5.362337662;5.237294372;4.712380952;5.010367965;4.861536797;-1.542272727;-1.928809524;-2.088917749;-1.778419913;-1.613030303;-1.743463203;-1.970735931;4.82;-0.5;-0.07769429;-0.056580779;-0.01559252;-0.002803102;-0.001993092;-0.000431941;-0.007762064;-0.003079628;0.000662626;8.758;0.285;-0.5848;-340;0.6;14;8.1;7;4;-5;62;7.5;13;-8866;3854;16487;14.2;8.7;500;-4200;-1.0245;14.72206;6.02;0;-0.02;-0.23;-0.11;-0.01;-0.03;-0.11;0.15;-2.6286;0.0276;-0.0151;2.3;2.2;18.2;-0.293;0.638;-0.156;0.07;0.16;-1698;-21793.46;24.9493;-28.9782;-0.01;-0.03;-0.038;0.353;0.271
1.11.2010;30.11363636;30.77136364;30.87545455;29.45045455;29.39318182;28.31363636;29.845;29.74227273;31.16681818;32.08;32.45409091;18.81614063;20.48289314;22.9329778;31.25;94.70516968;0.362;10859.3;98.048;1220690;97.4611;102.6589;101.9123;9.8;2912;3321;2370;426250;22287;40.6;4;41.3;545;97;-0.05;1.16;0.9847;20.1;2.623354978;2.650800866;2.471558442;2.330735931;2.310844156;2.4654329;1.964891775;1.978268398;1.973008658;-1.017272727;-0.725281385;-0.527900433;-0.859761905;-0.806060606;-0.574718615;-0.336536797;2.61;3.9;-0.045117045;-0.034204608;-0.010421362;-0.002149104;-0.003751673;-0.002370641;0.003866566;0.004289814;0.003218814;15.432;-0.031;0.2655;490;-0.1;27;7.2;-2;16;7;-2;5.4;-10;4136;7880;10993;48;-0.7;11400;800;2.1993;5.48295;-6.71;0;0.01;0.17;0.22;0;0.02;0.22;0.19;0.7895;0.0094;-0.005;1.2;1.6;6;0.11;0.609;-0.033;0.05;0.06;-1729.64;-2710.63;15.4252;-18.0531;-0.01;-0.01;-0.278;0.526;0.345
1.12.2010;28.27761905;28.89285714;29.46904762;28.43904762;27.73952381;27.36380952;28.11428571;28.50380952;29.04380952;29.98333333;30.76809524;18.2278627;18.58836344;19.75070397;28.9;97.20389557;0.121935484;10936.6;98.178;1222861;98.556;104.1999;102.9518;9.3;2693;3169;2120;420250;22266;40.6;4;41.3;539;140;-0.04;1.75;0.9689;17.57;6.095237154;5.793339921;5.619683794;5.778932806;5.492075099;5.690177866;5.349249012;5.015375494;5.304051383;-1.207489177;-1.1904329;-1.096385281;-1.094047619;-1.49965368;-1.38004329;-1.402510823;6.18;2.9;-0.01937125;-0.015558003;-0.005485338;0.021391678;0.010741552;0.001481371;0.023861531;0.015551595;0.003822668;79.691;0.7153;1.4305;-475;0.8;-32;-1.9;-39;12;-2;31;6.8;-15;-3750;1182;16069;8.3;-1.5;43900;40600;5.3126;127.50003;-3.57;-0.01;0;0.58;0.53;0.02;0.05;0.54;0.16;0.8196;-0.0366;-0.0048;2.2;2;2.8;0.196;0.979;-0.287;0.01;-0.01;35402.78;185549.75;-27.7219;-13.3019;0.01;0.06;-0.167;0.658;0.2
