date,ATM_30,ATM_60,ATM_90,RR25_30,RR25_60,RR25_90,RR25_180,RV30,RV60,RV90,OVX,GPR,InfectEMVIndex,W875RX1,DPCERA3M086SBEA,CMRMTSPL,IPCONGD,IPNCONGD,IPNMAT,UNRATE,UEMPLT5,UEMP5TO14,UEMP15T26,ICSA,USGOVT,CES0600000007,AWHMAN,HOUST,HOUSTW,BUSLOANS,GS5,TB3SMFFM,TB6SMFFM,EXSZUS,VIXCLS,CO1,CO3,CO6,BRENT,MichiganConsumer,FinancialUncertaintyH1,FinancialUncertaintyH3,FinancialUncertaintyH12,MacroUncertaintyH1,MacroUncertaintyH3,MacroUncertaintyH12,RealUncertaintyH1,RealUncertaintyH3,RealUncertaintyH12,RPI,IPBUSEQ,IPFUELS,CLF16OV,UEMPMEAN,USGOOD,CES1021000001,USCONS,DMANEMP,NDMANEMP,USTPU,USWTRADE,AWOTMAN,HOUSTNE,DGORDER,AMDMUO,BUSINV,M1SL,M2REAL,BOGMBASE,NONBORRES,NONREVSL,NONREVSLAR,FEDFUNDS,TB3MS,TB6MS,GS1,GS10,T1YFFM,T5YFFM,T10YFFM,AAAFFM,EXJPUS,EXUSUK,EXCAUS,WPSFD49502,WPSID61,PPICMM,CPIAPPSL,CPIMEDSL,CUSR0000SAD,DDURRG3M086SBEA,CES0600000008,CES2000000008,DTCOLNVHFNM,DTCTHFNM,INVEST,REALLN,CUSR0000SAS,DSERRG3M086SBEA
1.01.2009,83.08571429,75.71809524,69.72761905,-5.99238095,-5.45952381,-5.12238095,-4.68095238,98.77374632,93.5127185,86.53697554,80.9,85.36947632,1.673548387,10880.7,95.637,1153058,97.0261,106.1412,93.1437,7.8,3524,3662,2065,572000,22579,39.2,39.7,490,141,1544.7996,1.6,-0.02,0.15,1.1267,44.68,2.65534632,2.34034632,1.543744589,3.49,1.1,0.010459036,0.004213185,-0.001136769,-0.011733674,-0.017975355,-0.010870858,0.00790722,-0.006478882,-0.007495706,-128.699,-5.0164,0.5846,-445,-0.1,-432,-8,-134,-233,-56,-136,-30.9,0,-27,-22764,-21117,-17719,-18.9,28.7,45600,129400,0.02169,0.9,-0.01,0.1,0.04,-0.05,0.1,-0.04,0.09,0.11,0.01,-1.1545,-0.0392,-0.0089,1.7,0.1,-2,-0.152,1.076,-0.044,-0.076,-0.01,-0.08,-9126.42,-24175.39,43.2973,-25.0687,0.632,-0.073
1.02.2009,72.8135,63.9225,59.717,-5.838,-5.02,-4.9615,-3.881,79.01297149,89.18959618,88.28056046,71.71,67.45267487,0.873571429,10704.9,95.246,1160215,97.1131,105.6922,94.4346,8.3,3450,3936,2456,644000,22576,39.3,39.6,582,113,1532.6777,1.87,0.08,0.23,1.1639,45.57,-1.834119048,-3.354119048,-4.344380952,-0.12,-4.9,-0.023575431,-0.016590084,-0.004871165,-0.051397645,-0.046283135,-0.02096946,-0.04376341,-0.032363204,-0.012233974,-155.924,-0.4576,1.664,328,0.4,-314,-13.2,-121,-133,-48,-161,-47.9,-0.1,27,-2251,-23469,-20987,-15.6,-0.3,-150300,-178200,-0.15705,-0.13,0.07,0.17,0.15,0.18,0.35,0.11,0.2,0.28,0.15,2.7953,-0.004,0.0204,-0.2,-1.5,-19.8,1.921,1.029,0.196,0.005,0.05,0.01,-3419.48,-15796,17.3171,6.5048,0.668,-0.114
1.03.2009,71.86772727,65.59954545,62.37318182,-6.19181818,-5.18818181,-5.38454545,-3.72136364,67.76883738,74.80163587,83.22178067,68.83,72.6446228,0.916774194,10631.6,94.852,1136275,96.5756,105.0324,92.6582,8.7,3465,4122,2625,659250,22560,38.9,39.3,505,79,1511.2508,1.82,0.03,0.24,1.1555,44.8,3.543772727,3.303318182,3.057,3.22,1,-0.050063192,-0.034354985,-0.009087652,-0.050801726,-0.042845953,-0.016337375,-0.038104059,-0.027355533,-0.008701917,-37.288,-1.7428,-0.891,-405,0.7,-348,-17.4,-155,-122,-50,-161,-42.5,-0.2,3,-2511,-22067,-20957,11.7,35,85600,47500,-1.34133,-0.87,-0.04,-0.09,-0.03,0.02,-0.05,0.06,-0.01,-0.01,0.27,4.9392,-0.0252,0.0193,-2.2,-2.6,-2.4,0.48,0.852,0.043,-0.305,0.08,0.2,-3028.38,-9026.8,19.2548,24.388,0.291,-0.119
1.04.2009,63.619,58.0395,55.506,-5.646,-5.661,-5.9125,-4.8695,56.98007474,62.55716237,68.93159323,57.84,85.68849945,0.901333333,10616.3,94.711,1127427,96.2819,104.5851,93.5091,9,3338,4138,2634,627750,22677,38.9,39.4,478,112,1491.5992,1.86,0.01,0.2,1.1481,38.06,3.974632035,3.651753247,4.057380952,3.64,7.8,-0.041304057,-0.030090115,-0.00891434,-0.03469282,-0.036998578,-0.020062187,-0.03325655,-0.034407697,-0.016234022,22.667,-1.6528,0.0088,376,0.8,-333,-16.2,-137,-149,-29,-155,-46.2,0.1,-16,1144,-15215,-18437,32.7,-2.3,105900,157500,-3.00836,-1.22,-0.03,-0.05,-0.07,-0.09,0.11,-0.06,0.07,0.14,-0.08,1.065,0.0542,-0.0403,1.3,0.1,-6.4,-0.186,1.372,0.14,0.044,-0.01,-0.04,-2091.89,-7933.32,-7.7044,15.2973,0.042,-0.019
1.05.2009,53.36894737,48.92052632,43.85736842,-5.85684211,-5.66526316,-6.18105263,-6.31052632,36.55749783,48.12496083,55.6075011,44.36,89.68086243,0.587419355,10604.5,94.797,1127913,95.0356,103.9939,94.7033,9.4,3246,4458,3049,612000,22617,38.9,39.3,540,132,1469.4142,2.13,0,0.12,1.1076,31.98,7.193333333,6.745714286,6.143809524,7.12,3.6,-0.104350234,-0.073751677,-0.01925319,-0.027118846,-0.029042302,-0.015762536,-0.018927057,-0.02048444,-0.0106407,164.941,-2.2645,-1.2388,238,0.7,-239,-17.2,-54,-139,-29,-60,-24.7,0.1,6,1788,-10686,-15330,5.9,21.4,21900,53900,7.94357,3.77,0.03,0.02,-0.05,-0.05,0.36,-0.08,0.24,0.33,0.12,-2.2755,0.0706,-0.0714,0.6,1,7.2,-0.144,1.282,0.246,-0.145,0.02,0.08,-1501.1,-6210.47,29.213,52.7889,-0.16,0.101
1.06.2009,44.38954545,42.86818182,42.06136364,-5.16818181,-5.335,-6.07,-6.14636363,34.6290664,36.04606193,44.20912109,45.03,81.10958862,0.839,10521.4,94.823,1126129,94.6027,103.6686,95.2093,9.5,3114,4052,3488,598250,22576,39,39.6,585,124,1436.3041,2.71,-0.03,0.1,1.0809,29.14,10.685671,10.3338961,10.06562771,11.31,2.1,-0.066327967,-0.048721316,-0.014247461,-0.012518238,-0.014152975,-0.010606586,-0.008977924,-0.010452769,-0.005922418,-223.586,-0.6422,0.7152,-31,1.5,-233,-7.5,-90,-107,-29,-56,-24,0,24,-2222,-12983,-17881,41.3,-28,-91400,-6400,-14.92212,-12.47,0.03,0,0.01,0.01,0.43,-0.02,0.55,0.4,0.04,-0.03,0.0951,-0.0264,4.2,2.3,5.2,0.238,0.818,0.333,-0.058,0.02,0.02,-3420.95,-11621.05,49.1328,19.9299,-0.012,0.175
1.07.2009,48.17782609,47.3773913,46.47652174,-7.06608696,-7.29391305,-6.65869566,-6.06173914,40.20062058,37.67375948,37.29377749,46.24,83.43962097,0.332258065,10472,95.139,1142764,95.8736,102.9083,95.7332,9.5,3137,3505,2923,566500,22521,39.3,39.9,594,126,1395.4234,2.46,0.02,0.11,1.078,26.16,-3.520039526,-3.741225296,-3.569644269,-4.17,-4.8,-0.028938282,-0.022592376,-0.008146802,-0.013155871,-0.017162767,-0.010385728,0.01256731,0.003036282,-0.002139513,-47.616,0.9533,-1.0132,-214,1.2,-144,-7.4,-78,-36,-22,-102,-25.1,0.2,-19,6658,-9267,-15922,3.7,3.3,-10100,58600,2.30931,12.6,-0.05,0,-0.04,-0.03,-0.16,0.02,-0.2,-0.11,-0.15,-2.2475,0.0009,-0.0035,-2.6,-0.6,4.8,-0.292,0.824,-0.059,-0.525,0.08,0.04,-1471.49,-3802.01,16.6628,-39.4282,0.163,0.262
1.08.2009,46.089,46.5465,46.651,-5.7305,-5.923,-6.9115,-7.131,40.16775964,40.31624547,38.6197567,45.73,73.37187958,1.019677419,10447.3,95.995,1143418,96.7177,103.7454,96.9302,9.6,2940,3927,2791,559200,22537,39.4,40,586,127,1363.5333,2.57,0.01,0.1,1.0683,25.34,7.306273292,7.38494824,7.164016563,8.07,-0.3,-0.053968249,-0.039506321,-0.01159192,-0.042789883,-0.038976502,-0.017089341,-0.024821345,-0.01711971,-0.005592823,-22.578,0.8334,-0.5465,-195,0.2,-128,-9.7,-77,-33,-9,-36,-17.2,0,8,3798,-6856,-17006,-2.5,-13.2,37200,67700,-0.55665,-2.11,0,-0.01,-0.01,-0.02,0.03,-0.02,0.11,0.03,-0.15,0.5301,0.0154,-0.0357,3.3,2.7,15.8,0.252,1.09,-0.795,-0.419,-0.02,-0.05,-577.2,-3949.48,26.7637,-46.3779,0.599,0.338
1.09.2009,45.75409091,46.65181818,46.53818182,-4.95272727,-5.33181818,-5.64590909,-6.435,41.82520623,41.04526124,40.84140836,43.98,92.83998871,0.767333333,10440.8,95.109,1144772,97.5209,103.6374,97.177,9.8,2841,3775,2908,547500,22451,39.2,40.1,585,117,1337.6931,2.37,-0.03,0.06,1.0391,24.93,-4.910324675,-4.618722944,-4.675281385,-4.86,7.8,-0.02370282,-0.018768402,-0.006724226,-0.028104303,-0.028137821,-0.014651527,-0.016145239,-0.010917227,-0.004166926,32.769,0.5008,2.3092,-480,1.3,-107,-4.3,-68,-29,-6,-58,-16.8,0.1,-3,552,-11551,-6121,4.9,-7.9,90400,118500,-1.40985,-0.63,-0.01,-0.05,-0.05,-0.06,-0.19,-0.05,-0.19,-0.18,-0.12,-3.6223,-0.0209,-0.0056,-0.5,0.5,13.8,0.543,1.268,0.258,0.275,-0.01,-0.15,-2546.39,-8758.08,4.3057,-73.2319,0.776,0.317
1.01.2010,32.854375,34.163125,34.15375,-2.9,-3.39125,-4.260625,-4.316875,23.87354659,28.40016366,29.02117409,32.62,91.58102417,0.471935484,10490.7,95.471,1159614,97.6993,103.7189,99.4282,9.8,2921,3390,2574,479800,22491,40,40.9,614,126,1238.6689,2.48,-0.05,0.04,1.0345,20.64,8.866181818,8.622818182,8.571590909,8.52,0.9,-0.05460289,-0.041582164,-0.013737436,-0.045328214,-0.048516245,-0.026965094,-0.016806417,-0.016525252,-0.003702453,121.07,2.847,-6.9509,-343,3.7,-334,5.7,-207,-95,-36,-161,-64.2,0.5,3,22975,-32982,18508,9.8,-22.9,193800,354400,5.30574,-2.59,-0.04,-0.06,-0.06,-0.05,0.33,-0.01,0.15,0.37,0.17,-0.1737,-0.0165,-0.0378,7.5,6.5,15.2,-0.869,4.383,2.547,0.042,0.17,0.53,3443.7,-41440.96,31.6645,-56.2086,0.548,1.002
