DATE,ATM_30,ATM_60,ATM_90,ATM_180,ATM_270,ATM_360
01.12.2008,82.93,73.41,66.92,54.48,53.68,41.24
02.12.2008,89.97,77.62,70.72,57.27,47.6,42.73
03.12.2008,86.04,77.87,71.37,58.65,49.51,42.71
04.12.2008,89.73,82.05,75.32,61.33,51.73,49.15
05.12.2008,86.58,81.15,75.71,63.6,54.39,54.21
08.12.2008,95.61,81.74,76.45,61.89,54.19,43.85
09.12.2008,98.5,86.26,78.6,64.37,56.02,46.74
10.12.2008,96.71,85.04,78.51,65.43,56.34,49.1
11.12.2008,90.8,83.3,76.07,61.04,57.17,56.48
12.12.2008,95.74,83.66,76.32,62.34,54.46,44.34
15.12.2008,100.69,86.49,79.39,66.67,62.72,45.27
16.12.2008,105.8,90.78,82.43,67.4,57.55,49.27
18.12.2008,95.74,84.69,79.71,63.64,54.34,45.34
19.12.2008,87.48,79.89,77.46,62.71,53.49,45.03
22.12.2008,88.39,81.41,75.22,62.36,53.47,44.8
23.12.2008,92.68,83.05,77.71,64.47,54.49,44.92
24.12.2008,95.71,86.47,81.81,65.76,57.74,46.08
29.12.2008,97.95,86.22,78.18,67.06,59.6,47.7
30.12.2008,99.89,88.75,82.49,67.73,57.58,50.91
02.01.2009,91.68,84.75,79.16,66.74,56.5,51.73
05.01.2009,84.32,81.04,75.69,64.15,56.35,48.83
06.01.2009,85.76,79.37,74.85,64.14,55.27,48.63
07.01.2009,88.98,84.13,78.75,66.92,57.19,48.92
08.01.2009,87.76,88.66,76.92,66.91,57.25,50.22
09.01.2009,85.97,79.13,74.67,64.19,54.81,49.87
12.01.2009,85.31,76.56,73.74,63.09,54.41,48.92
13.01.2009,80.22,76.53,69.9,59.47,51,47.55
14.01.2009,75.23,69.54,64.66,55.26,47.06,42.74
15.01.2009,72.93,68.97,63.48,54.04,45.6,41.19
16.01.2009,77.01,68.45,63.43,53.51,45.34,41.09
19.01.2009,76.82,68.9,63.12,53.14,45.14,41.53
20.01.2009,85.26,72.99,67.59,55.47,47.51,43.96
21.01.2009,82.01,74.19,67.15,57.27,49.33,45.9
22.01.2009,87.62,75.3,65.41,58.72,48.73,44.07
23.01.2009,88.87,75.76,67.88,57.95,50.77,48.63
26.01.2009,81.94,72.87,67.14,55.62,48.35,45.74
27.01.2009,83.88,75.31,69.48,56.59,47.92,46.73
28.01.2009,82.22,74.12,67.76,56.89,47.91,43.59
29.01.2009,80.06,71.79,66.67,57.15,48.98,44.19
30.01.2009,80.95,71.72,66.83,56.75,49.43,43.88
02.02.2009,82.86,69.12,66.79,56.15,48.86,41.91
03.02.2009,76.96,69.53,63.48,55.19,48.23,43.48
04.02.2009,73.93,65.84,61.18,53.04,46.99,43.32
05.02.2009,68.28,60.93,57.45,49.97,43.92,40.31
06.02.2009,65.68,59.39,55.62,48.58,42.98,38.58
09.02.2009,69.95,59.75,56.61,49.35,43.32,39.38
10.02.2009,69.72,62.36,60.01,50.73,45.09,41.98
11.02.2009,68.06,61.38,55.54,49.3,43.4,38.78
12.02.2009,66.73,59.08,55.18,48.66,43.6,39.39
13.02.2009,67.17,58.13,54.04,47.98,42.91,38.51
16.02.2009,66.4,55.41,53.66,47.75,42.89,39.42
17.02.2009,71.35,62.61,55.56,50.95,47.18,42.7
18.02.2009,77.56,65.24,61.17,52.61,46.93,41.88
19.02.2009,73.4,67.67,63.45,52.49,50.51,48.34
20.02.2009,76,67.47,62.64,55.09,50.14,46.5
23.02.2009,79.5,70.71,64.3,55.57,50.49,44.81
24.02.2009,77.9,68.43,62.57,55.61,50.18,44.86
25.02.2009,75.14,67.09,63.09,55.07,51.56,46.3
26.02.2009,76.03,64,61.5,53.73,46.18,40.98
27.02.2009,73.65,64.31,60.5,51.79,47.52,42.38
02.03.2009,78.78,70.61,65.97,56.75,42.84,39.48
03.03.2009,75.66,69.47,64.72,56.05,49.12,44.01
04.03.2009,72.62,69.02,64.59,55.81,48.68,45.09
05.03.2009,74.47,68.89,64.43,55.37,48.08,43.98
06.03.2009,73.31,68.26,65.32,54.83,47.82,42.99
09.03.2009,73.85,66.84,63.51,54.44,45.58,41.85
10.03.2009,69.55,65.42,62.49,52.45,47.04,42.26
11.03.2009,69.45,66.58,66.52,54.65,52.96,42.83
12.03.2009,75.86,69.01,65.3,54.21,56.82,46.62
13.03.2009,71.51,66.73,63.85,53.96,45.65,41.01
16.03.2009,72.84,67.61,64.18,53.39,43.56,39.11
17.03.2009,73.96,67.77,62.79,53.42,46.92,42.06
18.03.2009,74.92,59.27,65.07,55.23,45.73,41.08
19.03.2009,75.88,66.98,61.6,51.36,46.55,42.43
20.03.2009,68.53,62.2,59.13,50.32,45.87,41.37
23.03.2009,69.36,62.76,59.32,50.53,45.89,41.26
24.03.2009,67.46,62.81,57.85,49.86,44.1,39.98
25.03.2009,66.41,62.13,58.5,50.41,44.43,40.69
26.03.2009,67.24,61.15,58.35,49.63,43.39,39.81
27.03.2009,65.38,60.14,56.98,49.41,43.94,40.04
30.03.2009,70.41,63.7,60.33,50.82,45.13,40.89
31.03.2009,73.64,65.84,61.41,51,42.95,40.21
01.04.2009,71.95,65.03,61.21,51.99,44.34,39.8
02.04.2009,69.89,64.18,59.93,50.78,53.84,47.89
03.04.2009,67.46,62.51,59.52,50.05,46.4,40.19
06.04.2009,68.76,62.54,58.94,49.99,45.76,41.07
07.04.2009,76.43,62.37,58.91,50.27,43.77,39.17
08.04.2009,60.93,57.73,57.06,49.46,45.5,40.01
09.04.2009,62.09,58.09,55.67,48.38,47.43,42.51
14.04.2009,65.56,59.76,58.78,49.43,47.32,40.69
15.04.2009,62.16,56.01,57.8,49.23,45.62,40.68
16.04.2009,61.21,58.02,55.48,49.18,44.27,39.87
