DATE,C25_30,C25_60,C25_90,C25_180,C25_270,C25_360
25/11/2008,77.03,0,0,50.88,42.69,0
01/12/2008,80.08,71.84,66.04,53.26,74.71,60.11
02/12/2008,90.23,75.49,71.61,56.29,48.75,41.96
03/12/2008,84.47,76.13,70.64,57.51,48.68,42.35
04/12/2008,89.44,80.62,74.52,60.15,50.27,54.56
05/12/2008,110.69,88,78.75,62.4,53.29,52.78
08/12/2008,99.58,81.76,78.63,61.44,52.88,51.92
09/12/2008,97.78,85.71,77.84,64.37,56.64,50.78
10/12/2008,104.17,85.86,78.21,64.04,56.61,49.4
11/12/2008,90.82,81.07,71.75,60.87,55.94,49.87
12/12/2008,93.95,82.13,74.55,61.69,54.3,46.96
15/12/2008,101.37,85.11,77.44,67.3,62.67,50.46
16/12/2008,107.17,91.31,81.93,66.09,56.26,49.44
18/12/2008,96.91,90.47,83.51,63.93,52.75,49.33
19/12/2008,97.62,86.82,77.69,62.22,53.2,46.08
22/12/2008,88.48,79.17,74.2,61.77,52.59,53.45
23/12/2008,89.77,80.67,74.04,63.54,54,48.88
24/12/2008,93.13,85.37,79.48,67.27,55.44,65.42
29/12/2008,95.94,84.64,75.26,69.51,52.36,48.41
30/12/2008,97.66,87.19,81.11,67.28,56.91,52.21
02/01/2009,89.45,83.21,77.68,64.89,56.14,50.31
05/01/2009,82.71,76.62,72.89,64.54,54.7,51.08
06/01/2009,81.2,77.27,73.58,63.72,53.96,49.14
07/01/2009,90.8,82.66,77.21,64.92,56.18,54.96
08/01/2009,95.75,86.32,82.64,65.87,55.75,50.13
09/01/2009,83.84,78.65,75.97,63,53.21,49.99
12/01/2009,79.55,77.14,72.25,60.64,53.21,52.4
13/01/2009,82.92,71.83,66.79,57.58,49.24,43.39
14/01/2009,72.71,67.08,63.36,53.82,45.67,43.08
15/01/2009,75.92,68.16,58.63,52.25,44.1,40.68
16/01/2009,72.31,66.86,61.6,52.13,44.3,41.02
19/01/2009,76.53,67.26,61.32,51.59,43.96,51.06
20/01/2009,85.04,73.96,66.42,53.99,46.24,43.38
21/01/2009,83.47,76.2,66.46,55.62,48.94,45.43
22/01/2009,78.44,68.66,65.69,54.49,47.88,44.85
23/01/2009,66.28,63.35,63.75,55.55,48.91,40.11
26/01/2009,81.32,72.35,66.24,54.11,46.87,47.69
27/01/2009,93.28,80.36,72.36,56,47.92,49.95
28/01/2009,81.92,72.58,66.36,55.26,46.93,43.81
29/01/2009,79.16,70.97,66.08,56.28,48,44
30/01/2009,80.6,71.47,66.4,55.7,48.43,45.31
02/02/2009,94.5,73.64,66.32,55.42,48.39,50.84
03/02/2009,77.6,68.95,64.79,54.66,48.07,43.7
04/02/2009,72.13,65.09,61.28,53.13,46.21,39.73
05/02/2009,64.74,58.29,55.86,49.04,42.66,38
06/02/2009,64.64,57.82,54.62,47.27,42.24,37
09/02/2009,67.1,59.62,56.43,47.8,42.83,40.17
10/02/2009,69.99,62.44,57.7,48.99,43.72,40.05
11/02/2009,66.47,59.9,57.32,50.99,42.88,42.67
12/02/2009,63.87,57.64,53.92,47.81,42.91,41.04
13/02/2009,67.27,56.37,52.55,47.79,42.16,38.4
16/02/2009,72.63,60.98,52.59,47.03,43.83,48.18
17/02/2009,78.07,63.88,59.43,49.67,47.13,48.43
18/02/2009,75.93,64.84,59.66,51.76,51.55,52.63
19/02/2009,77.19,64.6,60.52,51.54,48.21,45.64
20/02/2009,74.9,65.84,60.65,54.13,50.62,45.73
23/02/2009,77.45,66,61.82,54.77,49.47,44.79
24/02/2009,72.28,64.94,61.67,53.67,49.89,45.17
