"TARIH_DT","P75_30","P75_60","P75_90","P75_180","P75_270","P75_360"
"25/11/2008",79.81,70.43,63.84,52.79,41.25,38.75
"01/12/2008",83.22,74.17,67.99,56.1,52.97,44.07
"02/12/2008",85.62,77.18,69.24,59.31,45.19,41.69
"03/12/2008",89.17,80.92,74.37,59.91,51.35,44.34
"04/12/2008",91.94,85.7,78.72,64.15,53.54,45.26
"05/12/2008",91.15,78.65,79.08,65.67,56.72,38.98
"08/12/2008",93.21,83.56,78.03,63.76,56.43,54.7
"09/12/2008",95.43,89.65,82.2,66.26,56.66,51.46
"10/12/2008",91.32,88.22,81.75,67.62,62.85,48.24
"11/12/2008",95.48,85.7,77.79,62.81,55.88,67.15
"12/12/2008",97.89,86.34,79.68,63.49,56.37,43.72
"15/12/2008",102.81,90.13,82.07,63.92,62.49,46.22
"16/12/2008",107.06,94.21,85.3,68.88,58.92,49.73
"18/12/2008",84.24,78.57,75.58,66.05,56.08,46.02
"19/12/2008",85.43,79.64,75.98,63.98,53.88,44.9
"22/12/2008",89.68,83.53,78.62,64.75,57.14,40.87
"23/12/2008",93.66,84.77,79.94,67.83,57.2,44.99
"24/12/2008",96.89,88.15,83.54,71.82,61.77,52.34
"29/12/2008",98.61,88.69,80.88,66.86,65.29,47.92
"30/12/2008",103.08,92.87,86.76,71.03,60.87,52.38
"02/01/2009",97.44,89.69,83.31,71.51,59.84,51.94
"05/01/2009",92.44,85.02,79.96,67.88,60.49,55.13
"06/01/2009",90.65,85.15,80.1,67.16,58.65,50.48
"07/01/2009",94.25,88.31,84.23,70.4,60.9,53.01
"08/01/2009",93.23,89.63,77.42,70.67,60.23,51.81
"09/01/2009",85.09,81.72,76.58,67.97,56.64,52.04
"12/01/2009",90.68,77.79,78.01,66.21,57.35,48.89
"13/01/2009",87.69,79.27,72.25,61.62,52.95,51.23
"14/01/2009",78.98,71.63,67.23,57.52,49.64,44.57
"15/01/2009",90.28,73.59,67.65,57.28,47.99,43.08
"16/01/2009",82.28,73.75,67.19,56.02,48.03,43.34
"19/01/2009",79.71,72.2,66.67,55.4,47.61,37.81
"20/01/2009",87.18,77.14,71.55,58.35,50.43,46.74
"21/01/2009",85.32,76.91,68.99,60.89,49.84,45.76
"22/01/2009",81.66,78.87,76.69,61.64,52.19,46.76
"23/01/2009",97.67,86.27,80.41,62.9,53.63,55.87
"26/01/2009",85.77,76.22,70.29,58.35,51.23,46.55
"27/01/2009",86.02,77.05,70.26,59.72,49.44,47.04
"28/01/2009",86.44,77.86,72.07,59.97,52.55,45.39
"29/01/2009",83.31,75.23,70.23,59.6,52.93,46.37
"30/01/2009",82.95,74.31,70.16,59.19,52.78,47.05
"02/02/2009",88.97,72.24,65.8,59.69,53.27,47.86
"03/02/2009",78.67,71.09,65.96,57.28,51.38,46.53
"04/02/2009",76.81,69.07,64.8,56.2,51.3,49.5
"05/02/2009",71.89,64.44,61.58,52.29,47.81,46.43
"06/02/2009",70.63,62.76,59.29,51.17,46.59,42.81
"09/02/2009",65.59,64.1,60.05,52.19,46.82,41.46
"10/02/2009",72.81,63.44,60.96,54.52,48.85,41.18
