DATE,C_30,C_60,C_90,C_180,C_270,C_360,P_30,P_60,P_90,P_180,P_270,P_360
25.11.2008,77.03,0,0,50.88,42.69,0,79.81,70.43,63.84,52.79,41.25,38.75
01.12.2008,80.08,71.84,66.04,53.26,74.71,60.11,83.22,74.17,67.99,56.1,52.97,44.07
02.12.2008,90.23,75.49,71.61,56.29,48.75,41.96,85.62,77.18,69.24,59.31,45.19,41.69
03.12.2008,84.47,76.13,70.64,57.51,48.68,42.35,89.17,80.92,74.37,59.91,51.35,44.34
04.12.2008,89.44,80.62,74.52,60.15,50.27,54.56,91.94,85.7,78.72,64.15,53.54,45.26
05.12.2008,110.69,88,78.75,62.4,53.29,52.78,91.15,78.65,79.08,65.67,56.72,38.98
08.12.2008,99.58,81.76,78.63,61.44,52.88,51.92,93.21,83.56,78.03,63.76,56.43,54.7
09.12.2008,97.78,85.71,77.84,64.37,56.64,50.78,95.43,89.65,82.2,66.26,56.66,51.46
10.12.2008,104.17,85.86,78.21,64.04,56.61,49.4,91.32,88.22,81.75,67.62,62.85,48.24
11.12.2008,90.82,81.07,71.75,60.87,55.94,49.87,95.48,85.7,77.79,62.81,55.88,67.15
12.12.2008,93.95,82.13,74.55,61.69,54.3,46.96,97.89,86.34,79.68,63.49,56.37,43.72
15.12.2008,101.37,85.11,77.44,67.3,62.67,50.46,102.81,90.13,82.07,63.92,62.49,46.22
16.12.2008,107.17,91.31,81.93,66.09,56.26,49.44,107.06,94.21,85.3,68.88,58.92,49.73
18.12.2008,96.91,90.47,83.51,63.93,52.75,49.33,84.24,78.57,75.58,66.05,56.08,46.02
19.12.2008,97.62,86.82,77.69,62.22,53.2,46.08,85.43,79.64,75.98,63.98,53.88,44.9
22.12.2008,88.48,79.17,74.2,61.77,52.59,53.45,89.68,83.53,78.62,64.75,57.14,40.87
23.12.2008,89.77,80.67,74.04,63.54,54,48.88,93.66,84.77,79.94,67.83,57.2,44.99
24.12.2008,93.13,85.37,79.48,67.27,55.44,65.42,96.89,88.15,83.54,71.82,61.77,52.34
29.12.2008,95.94,84.64,75.26,69.51,52.36,48.41,98.61,88.69,80.88,66.86,65.29,47.92
30.12.2008,97.66,87.19,81.11,67.28,56.91,52.21,103.08,92.87,86.76,71.03,60.87,52.38
02.01.2009,89.45,83.21,77.68,64.89,56.14,50.31,97.44,89.69,83.31,71.51,59.84,51.94
05.01.2009,82.71,76.62,72.89,64.54,54.7,51.08,92.44,85.02,79.96,67.88,60.49,55.13
06.01.2009,81.2,77.27,73.58,63.72,53.96,49.14,90.65,85.15,80.1,67.16,58.65,50.48
07.01.2009,90.8,82.66,77.21,64.92,56.18,54.96,94.25,88.31,84.23,70.4,60.9,53.01
08.01.2009,95.75,86.32,82.64,65.87,55.75,50.13,93.23,89.63,77.42,70.67,60.23,51.81
09.01.2009,83.84,78.65,75.97,63,53.21,49.99,85.09,81.72,76.58,67.97,56.64,52.04
12.01.2009,79.55,77.14,72.25,60.64,53.21,52.4,90.68,77.79,78.01,66.21,57.35,48.89
13.01.2009,82.92,71.83,66.79,57.58,49.24,43.39,87.69,79.27,72.25,61.62,52.95,51.23
14.01.2009,72.71,67.08,63.36,53.82,45.67,43.08,78.98,71.63,67.23,57.52,49.64,44.57
15.01.2009,75.92,68.16,58.63,52.25,44.1,40.68,90.28,73.59,67.65,57.28,47.99,43.08
16.01.2009,72.31,66.86,61.6,52.13,44.3,41.02,82.28,73.75,67.19,56.02,48.03,43.34
19.01.2009,76.53,67.26,61.32,51.59,43.96,51.06,79.71,72.2,66.67,55.4,47.61,37.81
20.01.2009,85.04,73.96,66.42,53.99,46.24,43.38,87.18,77.14,71.55,58.35,50.43,46.74
21.01.2009,83.47,76.2,66.46,55.62,48.94,45.43,85.32,76.91,68.99,60.89,49.84,45.76
22.01.2009,78.44,68.66,65.69,54.49,47.88,44.85,81.66,78.87,76.69,61.64,52.19,46.76
23.01.2009,66.28,63.35,63.75,55.55,48.91,40.11,97.67,86.27,80.41,62.9,53.63,55.87
26.01.2009,81.32,72.35,66.24,54.11,46.87,47.69,85.77,76.22,70.29,58.35,51.23,46.55
27.01.2009,93.28,80.36,72.36,56,47.92,49.95,86.02,77.05,70.26,59.72,49.44,47.04
28.01.2009,81.92,72.58,66.36,55.26,46.93,43.81,86.44,77.86,72.07,59.97,52.55,45.39
29.01.2009,79.16,70.97,66.08,56.28,48,44,83.31,75.23,70.23,59.6,52.93,46.37
30.01.2009,80.6,71.47,66.4,55.7,48.43,45.31,82.95,74.31,70.16,59.19,52.78,47.05
02.02.2009,94.5,73.64,66.32,55.42,48.39,50.84,88.97,72.24,65.8,59.69,53.27,47.86
03.02.2009,77.6,68.95,64.79,54.66,48.07,43.7,78.67,71.09,65.96,57.28,51.38,46.53
04.02.2009,72.13,65.09,61.28,53.13,46.21,39.73,76.81,69.07,64.8,56.2,51.3,49.5
05.02.2009,64.74,58.29,55.86,49.04,42.66,38,71.89,64.44,61.58,52.29,47.81,46.43
06.02.2009,64.64,57.82,54.62,47.27,42.24,37,70.63,62.76,59.29,51.17,46.59,42.81
