DATE,RV30,RV60,RV90,RV180,RV270,RV360
21.05.1987,NA,NA,NA,NA,NA,NA
22.05.1987,NA,NA,NA,NA,NA,NA
25.05.1987,NA,NA,NA,NA,NA,NA
26.05.1987,NA,NA,NA,NA,NA,NA
27.05.1987,NA,NA,NA,NA,NA,NA
28.05.1987,NA,NA,NA,NA,NA,NA
29.05.1987,NA,NA,NA,NA,NA,NA
01.06.1987,NA,NA,NA,NA,NA,NA
02.06.1987,NA,NA,NA,NA,NA,NA
03.06.1987,NA,NA,NA,NA,NA,NA
04.06.1987,NA,NA,NA,NA,NA,NA
05.06.1987,NA,NA,NA,NA,NA,NA
08.06.1987,NA,NA,NA,NA,NA,NA
09.06.1987,NA,NA,NA,NA,NA,NA
10.06.1987,NA,NA,NA,NA,NA,NA
11.06.1987,NA,NA,NA,NA,NA,NA
12.06.1987,NA,NA,NA,NA,NA,NA
16.06.1987,NA,NA,NA,NA,NA,NA
17.06.1987,NA,NA,NA,NA,NA,NA
18.06.1987,NA,NA,NA,NA,NA,NA
19.06.1987,6.888453715,NA,NA,NA,NA,NA
22.06.1987,6.079800143,NA,NA,NA,NA,NA
23.06.1987,6.837718057,NA,NA,NA,NA,NA
24.06.1987,7.314636454,NA,NA,NA,NA,NA
25.06.1987,7.35172421,NA,NA,NA,NA,NA
26.06.1987,10.11435148,NA,NA,NA,NA,NA
29.06.1987,10.19359499,NA,NA,NA,NA,NA
30.06.1987,10.26546433,NA,NA,NA,NA,NA
01.07.1987,10.34391203,NA,NA,NA,NA,NA
02.07.1987,11.42931729,NA,NA,NA,NA,NA
03.07.1987,11.4461539,NA,NA,NA,NA,NA
06.07.1987,11.74215003,NA,NA,NA,NA,NA
07.07.1987,11.49844656,NA,NA,NA,NA,NA
08.07.1987,11.35381031,NA,NA,NA,NA,NA
09.07.1987,11.87951386,NA,NA,NA,NA,NA
10.07.1987,11.9119887,NA,NA,NA,NA,NA
13.07.1987,11.89714041,NA,NA,NA,NA,NA
14.07.1987,11.78483356,NA,NA,NA,NA,NA
15.07.1987,13.47721629,NA,NA,NA,NA,NA
16.07.1987,13.42287743,NA,NA,NA,NA,NA
17.07.1987,13.96870652,NA,NA,NA,NA,NA
