date,AvgSKEW,RV30,RV60,RV90,RP30,RP60,RP90,ATM30,ATM60,ATM90,ATM180,ATM270,ATM360,brent,CO1,CO3,CO6,RR_30,RR_60,RR_90,RR_180,CO31,CO63,CO61,logret
1.12.2008,115.75,86.16682008,78.96984977,73.91918856,-7.356337815,-4.18015023,-2.943443019,93.52315789,83.15,76.86263158,63.06315789,55.05631579,46.83526316,47.31736842,43.88052632,48.37684211,52.88578947,1.756315789,-1.646842105,-2.648421053,-2.277368421,4.496315789,4.508947368,9.005263158,-4.286090791
1.01.2009,119.7875,98.77374632,93.5127185,86.53697554,15.68803203,17.79462326,16.80935649,83.08571429,75.71809524,69.72761905,59.23666667,50.70714286,46.09095238,49.38952381,45.69380952,50.07809524,53.86047619,-5.992380952,-5.45952381,-5.122380952,-4.680952381,4.384285714,3.782380952,8.166666667,5.901800754
1.02.2009,119.9715789,79.01297149,89.18959618,88.28056046,6.19947149,25.26709618,28.56356046,72.8135,63.9225,59.717,51.9805,46.644,42.1905,46.559,43.85,46.69,49.465,-5.838,-5.02,-4.9615,-3.881,2.84,2.775,5.615,-6.689297141
1.03.2009,114.7290909,67.76883738,74.80163587,83.22178067,-4.098889893,9.202090415,20.84859885,71.86772727,65.59954545,62.37318182,52.90454545,46.50227273,41.775,49.78,47.28636364,49.77045455,52.21772727,-6.191818182,-5.188181818,-5.384545455,-3.721363636,2.484090909,2.447272727,4.931363636,-6.907322181
1.04.2009,112.6257143,56.98007474,62.55716237,68.93159323,-6.63892526,4.51766237,13.42559323,63.619,58.0395,55.506,48.3415,44.685,40.376,53.34,51.18,53.411,56.2965,-5.646,-5.661,-5.9125,-4.8695,2.231,2.8855,5.1165,-11.78773177
1.05.2009,117.002,36.55749783,48.12496083,55.6075011,-16.81144954,-0.795565486,11.75013268,53.36894737,48.92052632,43.85736842,40.25368421,37.31684211,34.67736842,60.01315789,57.99684211,59.78052632,62.10473684,-5.856842105,-5.665263158,-6.181052632,-6.310526316,1.783684211,2.324210526,4.107894737,-16.22087421
1.06.2009,119.5763636,34.6290664,36.04606193,44.20912109,-9.760479055,-6.822119888,2.147757454,44.38954545,42.86818182,42.06136364,38.82545455,35.94318182,33.77409091,70.58181818,69.09909091,70.49636364,72.505,-5.168181818,-5.335,-6.07,-6.146363636,1.397272727,2.008636364,3.405909091,5.842058954
1.07.2009,114.9963636,40.20062058,37.67375948,37.29377749,-7.977205507,-9.703631824,-9.182744249,48.17782609,47.3773913,46.47652174,42.94869565,39.27521739,35.48913043,66.57652174,65.64652174,66.8226087,69.00434783,-7.066086957,-7.293913043,-6.658695652,-6.06173913,1.176086957,2.18173913,3.357826087,-11.03644322
1.08.2009,118.3442857,40.16775964,40.31624547,38.6197567,-5.92124036,-6.23025453,-8.0312433,46.089,46.5465,46.651,43.3805,39.8605,36.087,74.345,73.173,74.411,76.38,-5.7305,-5.923,-6.9115,-7.131,1.238,1.969,3.207,6.655287033
1.09.2009,118.9,41.82520623,41.04526124,40.84140836,-3.928884679,-5.606556942,-5.696773458,45.75409091,46.65181818,46.53818182,44.28454545,40.75090909,37.90818182,69.55818182,68.17318182,69.72409091,71.63272727,-4.952727273,-5.331818182,-5.645909091,-6.435,1.550909091,1.908636364,3.459545455,-6.165508912
1.10.2009,119.0613636,34.64135901,38.40225146,39.06169961,-10.14864099,-7.522454422,-6.880653331,44.79,45.92470588,45.94235294,44.39117647,41.45705882,39.07352941,73.98176471,72.49470588,74.01529412,75.98764706,-2.787058824,-3.207058824,-3.891176471,-5.439411765,1.520588235,1.972352941,3.492941176,-5.753749094
1.11.2009,119.604,30.25029826,32.70046663,36.04017238,-8.976368407,-7.926200037,-3.38982762,39.22666667,40.62666667,39.43,39.39666667,37.14333333,38.65333333,78.36333333,77.13333333,78.71,80.76333333,-2.84,-2.036666667,-2.24,-6.556666667,1.576666667,2.053333333,3.63,-2.304268794
1.12.2009,122.3663636,31.96253876,31.21568359,32.489053,-6.114127907,-8.300983077,-11.040947,38.07666667,39.51666667,43.53,41.40666667,37.4,39.24666667,80.19,78.56666667,80.20666667,82.35666667,-3.306666667,-3.986666667,-8.076666667,-2.62,1.64,2.15,3.79,3.997021456
1.01.2010,121.7089474,23.87354659,28.40016366,29.02117409,-8.98645341,-5.594503007,-5.091492577,32.86,33.99466667,34.11266667,33.85733333,33.21,31.87066667,77.048,76.31266667,77.628,79.53,-3.093333333,-3.528,-4.230666667,-4.308666667,1.315333333,1.902,3.217333333,0.178457084
1.02.2010,119.5073684,32.5062245,29.22795323,30.3713244,-0.4525255,-3.44017177,-2.3730506,32.95875,32.668125,32.744375,31.84125,31.5375,30.444375,76.910625,75.34125,76.375625,77.928125,-3.5775,-4.280625,-4.889375,-4.674375,1.034375,1.5525,2.586875,-4.891851134
1.03.2010,120.7495652,29.21205889,30.98151923,29.18896161,-0.793593284,0.35325836,-1.744516651,30.00565217,30.62826087,30.93347826,30.77304348,30.31130435,29.06913043,80.76652174,79.70913043,80.56652174,81.65869565,-2.708695652,-3.246086957,-3.612173913,-4.260869565,0.857391304,1.092173913,1.949565217,-7.560340319
1.04.2010,126.4042857,27.53060402,28.08669044,29.95446424,-0.66839598,-0.55130956,1.03796424,28.199,28.638,28.9165,29.955,29.4835,28.6985,87.1095,85.604,86.96,88.241,-2.0315,-2.997,-3.129,-3.5985,1.356,1.281,2.637,11.14191223
1.05.2010,125.0165,37.4987935,32.91863523,31.72485635,-0.863984278,-3.739142548,-3.53514365,38.36277778,36.65777778,35.26,34.88277778,33.565,32.12944444,77.925,76.63,78.41166667,80.30277778,-4.317222222,-4.742777778,-4.895555556,-4.966666667,1.781666667,1.891111111,3.672777778,1.515790532
1.06.2010,121.0286364,36.81865347,37.64958727,34.57313853,0.797289834,2.02958727,-1.123225106,36.02136364,35.62,35.69636364,35.25409091,34.06681818,32.91454545,76.75272727,75.64227273,76.82136364,78.49090909,-5.474545455,-6.115454545,-6.113181818,-5.925454545,1.179090909,1.669545455,2.848636364,1.076508443
1.07.2010,118.5814286,29.53023796,33.20596617,35.12125556,-3.510671131,-0.637670194,0.92125556,33.04090909,33.84363636,34.2,34.17318182,33.61863636,32.78227273,75.93090909,75.21227273,76.00818182,77.61636364,-2.769545455,-3.321818182,-3.690909091,-3.355,0.795909091,1.608181818,2.404090909,-2.867825372
1.08.2010,119.0686364,33.15238723,31.45923673,33.22612912,1.176196754,-1.34028708,-0.156251832,31.97619048,32.79952381,33.38238095,33.77380952,33.35571429,32.46047619,78.14,77.30571429,78.30238095,79.95,-2.301428571,-3.04952381,-3.586666667,-3.47047619,0.996666667,1.647619048,2.644285714,-0.82320726
1.09.2010,120.9109524,27.04369419,30.47100184,30.17045731,-3.839033083,-1.256725433,-2.496815417,30.88272727,31.72772727,32.66727273,33.46227273,33.175,32.50272727,78.78590909,78.06863636,78.76136364,80.26909091,-1.720909091,-2.346363636,-2.844545455,-3.301363636,0.692727273,1.507727273,2.200454545,-6.785668506
