  ,C_30,C_60,C_90,C_180,C_270,C_360,P_30,P_60,P_90,P_180,P_270,P_360,ATM_30,ATM_60,ATM_90,ATM_180,ATM_270,ATM_360,,30,60,90,180,270,360
01.12.2008,80.08,71.84,66.04,53.26,74.71,60.11,83.22,74.17,67.99,56.1,52.97,44.07,82.93,73.41,66.92,54.48,53.68,41.24,,33.917303,33.38868566,32.92537348,31.67214664,30.27372698,29.13504031
02.12.2008,90.23,75.49,71.61,56.29,48.75,41.96,85.62,77.18,69.24,59.31,45.19,41.69,89.97,77.62,70.72,57.27,47.6,42.73,,37.33622225,37.07073697,36.8249225,36.02312665,34.8712444,33.41646759
03.12.2008,84.47,76.13,70.64,57.51,48.68,42.35,89.17,80.92,74.37,59.91,51.35,44.34,86.04,77.87,71.37,58.65,49.51,42.71,,34.53818904,34.11270942,33.81515906,32.72779152,31.40847961,29.93600436
04.12.2008,89.44,80.62,74.52,60.15,50.27,54.56,91.94,85.7,78.72,64.15,53.54,45.26,89.73,82.05,75.32,61.33,51.73,49.15,,,,,,,
05.12.2008,110.69,88,78.75,62.4,53.29,52.78,91.15,78.65,79.08,65.67,56.72,38.98,86.58,81.15,75.71,63.6,54.39,54.21,,,,,,,
08.12.2008,99.58,81.76,78.63,61.44,52.88,51.92,93.21,83.56,78.03,63.76,56.43,54.7,95.61,81.74,76.45,61.89,54.19,43.85,,,,,,,
09.12.2008,97.78,85.71,77.84,64.37,56.64,50.78,95.43,89.65,82.2,66.26,56.66,51.46,98.5,86.26,78.6,64.37,56.02,46.74,,,,,,,
10.12.2008,104.17,85.86,78.21,64.04,56.61,49.4,91.32,88.22,81.75,67.62,62.85,48.24,96.71,85.04,78.51,65.43,56.34,49.1,,,,,,,
11.12.2008,90.82,81.07,71.75,60.87,55.94,49.87,95.48,85.7,77.79,62.81,55.88,67.15,90.8,83.3,76.07,61.04,57.17,56.48,,,,,,,
12.12.2008,93.95,82.13,74.55,61.69,54.3,46.96,97.89,86.34,79.68,63.49,56.37,43.72,95.74,83.66,76.32,62.34,54.46,44.34,,,,,,,
15.12.2008,101.37,85.11,77.44,67.3,62.67,50.46,102.81,90.13,82.07,63.92,62.49,46.22,100.69,86.49,79.39,66.67,62.72,45.27,,,,,,,
16.12.2008,107.17,91.31,81.93,66.09,56.26,49.44,107.06,94.21,85.3,68.88,58.92,49.73,105.8,90.78,82.43,67.4,57.55,49.27,,,,,,,
18.12.2008,96.91,90.47,83.51,63.93,52.75,49.33,84.24,78.57,75.58,66.05,56.08,46.02,95.74,84.69,79.71,63.64,54.34,45.34,,,,,,,
19.12.2008,97.62,86.82,77.69,62.22,53.2,46.08,85.43,79.64,75.98,63.98,53.88,44.9,87.48,79.89,77.46,62.71,53.49,45.03,,,,,,,
22.12.2008,88.48,79.17,74.2,61.77,52.59,53.45,89.68,83.53,78.62,64.75,57.14,40.87,88.39,81.41,75.22,62.36,53.47,44.8,,,,,,,
23.12.2008,89.77,80.67,74.04,63.54,54,48.88,93.66,84.77,79.94,67.83,57.2,44.99,92.68,83.05,77.71,64.47,54.49,44.92,,,,,,,
