,regressor,r2,mse,RV
0,cart,0.07603418055201336,109.07847833832791,RV30
1,ols,0.2143103912385696,97.22876379336284,RV30
2,rforest,0.32905281531829256,88.22829362891771,RV30
3,gboost,0.26283557133720065,95.81917505978251,RV30
4,XGBoost,0.12135348540925528,118.28245793123702,RV30
5,LGBoost,0.25466347242439114,97.86909541025672,RV30
6,ridge,0.2639488703824412,88.92707962039447,RV30
7,Lasso,0.22387443332865126,95.16754080094385,RV30
8,cart,0.6587171445578681,36.03706120681743,RV60
9,ols,0.7654744718714311,26.104695336273487,RV60
10,rforest,0.6283463446906954,45.477472952802266,RV60
11,gboost,0.7469483443951208,28.694369921345668,RV60
12,XGBoost,0.7221364565458076,34.547532764386226,RV60
13,LGBoost,0.6836306128950209,39.42859485585056,RV60
14,ridge,0.7899750219845288,22.36271015808397,RV60
15,Lasso,0.770932767160539,25.133172972069694,RV60
16,cart,0.418914297977426,163.77122167575678,RV90
17,ols,0.6354131727201155,62.45758186366136,RV90
18,rforest,0.5258738500408369,74.0842723499045,RV90
19,gboost,0.6098685268376978,67.52438171610083,RV90
20,XGBoost,0.26290714659311215,132.03967963401226,RV90
21,LGBoost,0.6015198102660423,65.6671150414722,RV90
22,ridge,0.7390398558717157,45.44118341160146,RV90
23,Lasso,0.6498435354107949,60.91064553076512,RV90
