,regressor,r2,mse,RV,,,,,,,,,,,,,,
0,cart,0.068911218,110.7331504,RV30,,,,,,,,,,,,,,
1,ols,0.214310391,97.22876379,RV30,,,,,,,0,1,2,3,4,5,6,7
2,rforest,0.290217123,93.63785436,RV30,,,,,,ML Model,cart,ols,rforest,gboost,XGBoost,LGBoost,Ridge,Lasso
4,XGBoost,0.121353485,118.2824579,RV30,,,,,,mse,110.7331504,97.22876379,93.63785436,97.09733926,118.2824579,97.86909541,88.92707962,95.156608
5,LGBoost,0.254663472,97.86909541,RV30,,,,,,rmse,10.52298201,9.860464684,9.676665456,9.853798215,10.8757739,9.892881047,9.430115568,9.754824858
6,ridge,0.26394887,88.92707962,RV30,,,,,,,,,,,,,,
7,Lasso,0.223964794,95.156608,RV30,,,,,,,,,,,,,,
8,cart,0.714700157,33.28737691,RV60,,,,,,8,9,10,11,12,13,14,15,
9,ols,0.765474472,26.10469534,RV60,,,,,ML Model,cart,ols,rforest,gboost,XGBoost,LGBoost,ridge,Lasso,
10,rforest,0.690544394,36.84320654,RV60,,,,,mse,5.8,5.1,6.1,5.4,5.9,6.3,4.7,5.0,
11,gboost,0.746090239,29.30824855,RV60,,,,,rmse,33.3,26.1,36.8,29.3,34.5,39.4,22.4,25.1,
12,XGBoost,0.722136457,34.54753276,RV60,,,,,,RV60,RV60,RV60,RV60,RV60,RV60,RV60,RV60,
13,LGBoost,0.683630613,39.42859486,RV60,,,,,,,,,,,,,,
14,ridge,0.789975022,22.36271016,RV60,,,,,,,,,,,,,,
15,Lasso,0.770978191,25.12120527,RV60,,,,,,16,17,18,19,20,21,22,23,
16,cart,0.420100514,99.17750299,RV90,,,,,ML Model,cart,ols,rforest,gboost,XGBoost,LGBoost,ridge,Lasso,
17,ols,0.635413173,62.45758186,RV90,,,,,RMSE,9.958790237,7.903010937,8.546439394,8.043411086,11.490852,8.103524853,6.741007596,7.804372846,
18,rforest,0.521858904,73.04162631,RV90,,,,,MSE,99.17750299,62.45758186,73.04162631,64.69646189,132.0396796,65.66711504,45.44118341,60.90823552,
19,gboost,0.607722465,64.69646189,RV90,,,,,,RV90,RV90,RV90,RV90,RV90,RV90,RV90,RV90,
20,XGBoost,0.262907147,132.0396796,RV90,,,,,,,,,,,,,,
21,LGBoost,0.60151981,65.66711504,RV90,,,,,,,Previous Statistics,,,Prediction,,,,
22,ridge,0.739039856,45.44118341,RV90,,,,,,,1M,1W,1D,1W,1M,3M,,
23,Lasso,0.649859464,60.90823552,RV90,,,,,,Return,10,15,12,10,10,5,,
,,,,,,,,,,Realized volatility,35,30,25,22,20,35,,
,,,,,,,,,,implied volatility,20,12,12,15,15,12,,
,,,,,,,,,,risk premium,low,medium,high,cheap,moderate,expensive,,
,,,,,,,,,,hedge decision,neutral,neutral,neutral,increase,increas,neutral,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Instrument,maturity,Cost of hedging,Hedge Decision,,,,,
,,,,,,,,,,Forward ,3M,10,2,,,,,
,,,,,,,,,,Forward ,1M,22,3,,,,,
,,,,,,,,,,Option ,3M,15,4,,,,,
,,,,,,,,,,Option 3M,1M,5,1,,,,,
,,,,,,,,,,Buy Spot,,12,5,,,,,
,,,,,,,,,,,,,,,,,,
