,regressor,r2,mse,RV
0,cart,0.15301661411562745,131.0682972438404,RV30
1,ols,0.19544783592216733,99.93344204808272,RV30
2,rforest,0.299739537450995,92.48839604974737,RV30
3,gboost,0.23582077523351314,98.81879568687289,RV30
4,XGBoost,0.1295667317702252,118.98055564622499,RV30
5,LGBoost,0.24685025755138823,98.18536647092134,RV30
6,ridge,0.24992293925830095,90.5516299477874,RV30
7,Lasso,0.20726162691368918,97.48029709327288,RV30
8,cart,0.7136098577440592,38.83390806713447,RV60
9,ols,0.7578235376005114,27.27752197518104,RV60
10,rforest,0.6922832106354114,36.661599088137685,RV60
11,gboost,0.7387625848178356,32.01394183283401,RV60
12,XGBoost,0.7287725246366191,33.39763337566545,RV60
13,LGBoost,0.6774319745665686,39.24926423835766,RV60
14,ridge,0.7864334209340466,22.742287619564802,RV60
15,Lasso,0.7646032786747359,26.059013718685343,RV60
16,cart,0.6293346832940838,98.1535135500936,RV90
17,ols,0.6738079142152864,59.51422075646834,RV90
18,rforest,0.5883165089147546,65.6024872056295,RV90
19,gboost,0.6942119880354519,62.607469675178415,RV90
20,XGBoost,0.3770398406221151,116.01505820934933,RV90
21,LGBoost,0.6848099796697917,56.556621633221525,RV90
22,ridge,0.770309226163125,43.780057177345455,RV90
23,Lasso,0.6873256808426862,58.07379725630756,RV90
