finance,regressor,RV,RMSE,,,macro,regressor,r2,mse,RV,,,,mixed,regressor,r2,mse,RV,,,sentiment,regr+W1:Y25essor,RV,RMSE,,
0,cart,RV30,10.67648541,,,0,cart,-0.071732453,-141.8811565,RV30,11.91138768,,,0,cart,-0.312283745,-161.6076089,RV30,12.71249814,,0,cart,RV30,10.72141395,,
1,ols,RV30,10.65787602,,,1,ols,-0.307640012,-166.4734455,RV30,12.90245889,,,1,ols,-34.81023492,-5239.941058,RV30,72.38743715,,1,ols,RV30,9.860464684,,
2,rforest,RV30,12.03754933,,,2,rforest,0.28294035,-95.17848608,RV30,9.755946191,,,2,rforest,-0.074266423,-120.7370286,RV30,10.98804025,,2,rforest,RV30,9.676665456,,
3,gboost,RV30,10.02842215,,,3,gboost,0.179580351,-107.2183731,RV30,10.35463051,,,3,gboost,0.082761839,-109.8561047,RV30,10.4812263,,3,gboost,RV30,9.779518946,,
4,XGBoost,RV30,11.44090936,,,4,XGBoost,0.143826141,-118.9036087,RV30,10.90429313,,,4,XGBoost,-0.248171014,-125.6673906,RV30,11.21014677,,4,XGBoost,RV30,10.8757739,,
5,LGBoost,RV30,12.3680109,,,5,LGBoost,0.269705384,-94.93587562,RV30,9.743504278,,,5,LGBoost,0.017690663,-123.5233468,RV30,11.11410576,,5,LGBoost,RV30,9.892881047,,
6,ridge,RV30,10.25923262,,,6,ridge,0.029433988,-126.286712,RV30,11.23773607,,,6,ridge,-9.572423351,-1614.851445,RV30,40.18521426,,6,ridge,RV30,9.430115568,,
7,Lasso,RV30,10.24535152,,,7,Lasso,-0.493377882,-187.4199658,RV30,13.69014119,,,7,Lasso,-14.237978,-2035.70866,RV30,45.11882822,,7,Lasso,RV30,9.754824858,,
8,cart,RV60,6.965851065,,,8,cart,0.67607276,-38.44146014,RV60,6.200117752,,,8,cart,0.319964245,-51.2889541,RV90,7.161630687,,8,cart,RV60,5.811600059,,
9,ols,RV60,4.579486744,,,9,ols,0.621222493,-42.73094743,RV60,6.536891266,,,9,ols,-8.44061224,-1177.027754,RV90,34.30783809,,9,ols,RV60,5.109275422,,
10,rforest,RV60,7.256728056,,,10,rforest,0.694635017,-36.35717492,RV60,6.029691113,,,10,rforest,0.517311904,-54.57484843,RV90,7.387479166,,10,rforest,RV60,6.069860505,,
11,gboost,RV60,6.343030267,,,11,gboost,0.750525536,-30.09149166,RV60,5.485571225,,,11,gboost,0.579610949,-49.37618963,RV90,7.026819311,,11,gboost,RV60,5.478025067,,
12,XGBoost,RV60,6.653075528,,,12,XGBoost,0.699239974,-38.6390652,RV60,6.216032915,,,12,XGBoost,0.657208347,-44.78937108,RV90,6.692486166,,12,XGBoost,RV60,5.877714927,,
13,LGBoost,RV60,7.974822326,,,13,LGBoost,0.69888085,-35.75836178,RV60,5.979829578,,,13,LGBoost,0.531427627,-68.23596802,RV90,8.260506523,,13,LGBoost,RV60,6.279219287,,
14,ridge,RV60,4.33264875,,,14,ridge,0.705439404,-33.80277914,RV60,5.81401575,,,14,ridge,-2.401363299,-428.1696895,RV90,20.69226159,,14,ridge,RV60,4.728922727,,
15,Lasso,RV60,4.316488975,,,15,Lasso,0.572644942,-47.66549354,RV60,6.9040201,,,15,Lasso,-3.795090354,-567.0074924,RV90,23.81191913,,15,Lasso,RV60,5.012105872,,
16,cart,RV30,10.69061878,,,,,,,,,,,16,cart,-7.091704334,-1360.900766,RV90,36.89038852,,16,cart,RV90,9.950051753,,
17,ols,RV30,10.65787602,,,,,,,,,,,17,ols,-7.091704334,-1360.900766,RV90,36.89038852,,17,ols,RV90,7.903010937,,
18,rforest,RV30,12.03754933,,,,,,,,,,,18,rforest,-7.091704334,-1360.900766,RV90,36.89038852,,18,rforest,RV90,8.546439394,,
19,gboost,RV30,10.08357341,,,,,,,,,,,19,gboost,-7.091704334,-1360.900766,RV90,36.89038852,,19,gboost,RV90,8.297629868,,
20,XGBoost,RV30,11.44090936,,,,,,,,,,,20,XGBoost,-7.091704334,-1360.900766,RV90,36.89038852,,20,XGBoost,RV90,11.490852,,
21,LGBoost,RV30,12.3680109,,,,,,,,,,,21,LGBoost,-7.091704334,-1360.900766,RV90,36.89038852,,21,LGBoost,RV90,8.103524853,,
22,ridge,RV30,10.25923262,,,,,,,,,,,22,ridge,-7.091704334,-1360.900766,RV90,36.89038852,,22,ridge,RV90,6.741007596,,
23,Lasso,RV30,10.24535152,,,,,,,,,,,23,Lasso,-7.091704334,-1360.900766,RV90,36.89038852,,23,Lasso,RV90,7.804372846,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,finance,,cart,ols,rforest,gboost,XGBoost,LGBoost,ridge,Lasso,cart,ols,rforest,gboost,XGBoost,LGBoost,ridge,Lasso,cart,ols,rforest,gboost,ridge,Lasso,,
,,,RV30,RV30,RV30,RV30,RV30,RV30,RV30,RV30,RV60,RV60,RV60,RV60,RV60,RV60,RV60,RV60,RV30,RV30,RV30,RV30,RV30,RV30,,
,finance,,10.67648541,10.65787602,12.03754933,10.02842215,11.44090936,12.3680109,10.25923262,10.24535152,6.965851065,4.579486744,7.256728056,6.343030267,6.653075528,7.974822326,4.33264875,4.316488975,10.69061878,10.65787602,12.03754933,10.08357341,11.44090936,12.3680109,10.25923262,10.24535152
,sentiment,,10.72141395,9.860464684,9.676665456,9.779518946,10.8757739,9.892881047,9.430115568,9.754824858,5.811600059,5.109275422,6.069860505,5.478025067,5.877714927,6.279219287,4.728922727,5.012105872,9.950051753,7.903010937,8.546439394,8.297629868,11.490852,8.103524853,6.741007596,7.804372846
,macro,,11.91138768,12.90245889,9.755946191,10.35463051,10.90429313,9.743504278,11.23773607,13.69014119,6.200117752,6.536891266,6.029691113,5.485571225,6.216032915,5.979829578,5.81401575,6.9040201,,,,,,,,
