date,AvgSKEW,RP30,RP60,RP90,ATM30,ATM60,ATM90,ATM180,ATM270,ATM360,brent,CO1,CO3,CO6,RR_30,RR_60,RR_90,RR_180,CO31,CO63,CO61,RV30,RV60,RV90,FinancialUncertaintyH1,MacroUncertaintyH1,MacroUncertaintyH3,RealUncertaintyH1,RealUncertaintyH3,GPR,InfectEMVIndex,IPCONGD,IPNMAT,UNRATE,UEMPLT5,UEMP5TO14,UEMP15T26,ICSA,AWHMAN,NONREVSLAR,GS10,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,VIXCLS,MichiganConsumer,FinancialUncertaintyH3,FinancialUncertaintyH12,MacroUncertaintyH12,RealUncertaintyH12,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPL,IPNCONGD,IPBUSEQ,IPFUELS,CLF16OV,UEMPMEAN,USGOOD,CES1021000001,USCONS,DMANEMP,NDMANEMP,USTPU,USWTRADE,USGOVT,CES0600000007,AWOTMAN,HOUST,HOUSTNE,HOUSTW,DGORDER,AMDMUO,BUSINV,M1SL,M2REAL,BOGMBASE,NONBORRES,BUSLOANS,REALLN,NONREVSL,FEDFUNDS,TB3MS,TB6MS,GS1,GS5,EXSZUS,EXJPUS,EXUSUK,EXCAUS,WPSFD49502,WPSID61,PPICMM,CPIAPPSL,CPIMEDSL,CUSR0000SAD,DDURRG3M086SBEA,DTCOLNVHFNM,DTCTHFNM,INVEST,CUSR0000SAS,DSERRG3M086SBEA,CES0600000008,CES2000000008
1.12.2008,115.75,-7.356337815,-4.18015023,-2.943443019,93.52315789,83.15,76.86263158,63.06315789,55.05631579,46.83526316,47.31736842,43.88052632,48.37684211,52.88578947,1.756315789,-1.646842105,-2.648421053,-2.277368421,4.496315789,4.508947368,9.005263158,86.16682008,78.96984977,73.91918856,1.455615677,1.073121523,1.183969121,0.88599913,0.957519943,92.36643219,0.596451613,99.3912,92.5834,7.3,3255,3498,1936,564000,39.8,-0.88,2.42,-0.13,0.1,0.33,1.36,2.26,4.89,52.36,4.8,-0.030776822,-0.007813189,-0.009178125,0.0006228,-89.54,-129.1,-0.277,-6435.0,-1.4156,0.8667,0.4138,16,1.0,-301,-4.5,-112,-128,-56,-180,-40.4,-4,-0.3,-0.3,-92,4,0,-7703,-10499,-32342,87.1,114.6,224100,257000,-16.8381,-7.5244,-1.20741,-0.23,-0.16,-0.47,-0.58,-0.77,-0.0506,-5.6906,-0.0473,0.0166,-4.6,-7.4,-16.2,-0.748,1.289,-0.341,-0.392,-5203.48,-11382.67,-46.6646,0.276,-0.062,0.17,0.33
1.01.2009,119.7875,15.68803203,17.79462326,16.80935649,83.08571429,75.71809524,69.72761905,59.23666667,50.70714286,46.09095238,49.38952381,45.69380952,50.07809524,53.86047619,-5.992380952,-5.45952381,-5.122380952,-4.680952381,4.384285714,3.782380952,8.166666667,98.77374632,93.5127185,86.53697554,1.469785453,1.061625512,1.165695889,0.89447351,0.951505342,85.36947632,1.673548387,97.0261,93.1437,7.8,3524,3662,2065,572000,39.7,0.02,2.52,-0.02,0.15,0.29,1.45,2.37,4.9,44.68,1.1,0.006527387,-0.00042996,-0.011826239,-0.007593883,-128.699,-199.6,0.432,-24976.0,-0.0661,-5.0164,0.5846,-445,-0.1,-433,-8.5,-134,-233,-56,-136,-30.6,23,-0.1,0.0,-70,-27,6,-22764,-21117,-17719,-18.9,28.7,45600,129400,-13.985,-17.5443,0.02169,-0.01,0.1,0.04,-0.05,0.08,-0.0137,-1.1545,-0.0392,-0.0089,1.7,0.1,-2.0,-0.152,1.076,-0.044,-0.076,-9126.42,-24175.39,43.2973,0.632,-0.073,0.07,0.08
1.02.2009,119.9715789,6.19947149,25.26709618,28.56356046,72.8135,63.9225,59.717,51.9805,46.644,42.1905,46.559,43.85,46.69,49.465,-5.838,-5.02,-4.9615,-3.881,2.84,2.775,5.615,79.01297149,89.18959618,88.28056046,1.446751354,1.009296321,1.12025657,0.849300075,0.918599536,67.45267487,0.873571429,97.1131,94.4346,8.3,3450,3936,2456,644000,39.6,-0.11,2.87,0.08,0.23,0.4,1.65,2.65,5.05,45.57,-4.9,-0.015831031,-0.004350512,-0.019958867,-0.012325272,-155.924,-175.8,-0.391,7157.0,-0.449,-0.4576,1.664,328,0.4,-314,-13.0,-121,-133,-48,-147,-48.1,-3,0.1,-0.2,92,27,-28,-2251,-23469,-20987,-15.6,-0.3,-150300,-178200,-12.1219,24.0491,-0.15705,0.07,0.17,0.15,0.18,0.27,0.0372,2.7953,-0.004,0.0204,-0.2,-1.5,-19.8,1.921,1.029,0.196,0.005,-3419.48,-15796.0,17.3171,0.668,-0.114,0.04,-0.07
1.03.2009,114.7290909,-4.098889893,9.202090415,20.84859885,71.86772727,65.59954545,62.37318182,52.90454545,46.50227273,41.775,49.78,47.28636364,49.77045455,52.21772727,-6.191818182,-5.188181818,-5.384545455,-3.721363636,2.484090909,2.447272727,4.931363636,67.76883738,74.80163587,83.22178067,1.396753477,0.955334494,1.075565716,0.806349266,0.888031821,72.6446228,0.916774194,96.5756,92.6582,8.7,3465,4122,2625,659250,39.3,-0.98,2.82,0.03,0.24,0.46,1.64,2.64,5.32,44.8,1.0,-0.033846825,-0.008393435,-0.016967798,-0.009514528,-37.288,-73.3,-0.394,-23940.0,-0.6598,-1.7428,-0.891,-405,0.7,-348,-17.4,-155,-122,-50,-145,-42.4,-16,-0.4,-0.1,-77,3,-34,-2511,-22067,-20957,11.7,35.0,85600,47500,-21.4269,0.3389,-1.34133,-0.04,-0.09,-0.03,0.02,-0.05,-0.0084,4.9392,-0.0252,0.0193,-2.2,-2.6,-2.4,0.48,0.852,0.043,-0.305,-3028.38,-9026.8,19.2548,0.291,-0.119,0.13,0.21
1.04.2009,112.6257143,-6.63892526,4.51766237,13.42559323,63.619,58.0395,55.506,48.3415,44.685,40.376,53.34,51.18,53.411,56.2965,-5.646,-5.661,-5.9125,-4.8695,2.231,2.8855,5.1165,56.98007474,62.55716237,68.93159323,1.353798223,0.914563772,1.034817801,0.763138454,0.847278043,85.68849945,0.901333333,96.2819,93.5091,9.0,3338,4138,2634,627750,39.5,-2.2,2.93,0.01,0.2,0.4,1.71,2.78,5.24,38.06,7.8,-0.031040458,-0.008628602,-0.020209844,-0.017406012,22.667,-15.3,-0.141,-8848.0,-0.4473,-1.6528,0.0088,376,0.8,-333,-16.2,-137,-149,-29,-181,-46.4,117,0.1,0.1,-27,-16,33,1144,-15215,-18437,32.7,-2.3,105900,157500,-19.6516,14.9584,-3.00836,-0.03,-0.05,-0.07,-0.09,0.04,-0.0074,1.065,0.0542,-0.0403,1.3,0.1,-6.4,-0.186,1.372,0.14,0.044,-2091.89,-7933.32,-7.7044,0.042,-0.019,0.07,0.16
1.05.2009,117.002,-16.81144954,-0.795565486,11.75013268,53.36894737,48.92052632,43.85736842,40.25368421,37.31684211,34.67736842,60.01315789,57.99684211,59.78052632,62.10473684,-5.856842105,-5.665263158,-6.181052632,-6.310526316,1.783684211,2.324210526,4.107894737,36.55749783,48.12496083,55.6075011,1.245586878,0.882695551,1.002631268,0.737635103,0.822599781,89.68086243,0.587419355,95.0356,94.7033,9.4,3246,4458,3049,612000,39.3,1.57,3.29,0.0,0.12,0.32,1.95,3.11,5.36,31.98,3.6,-0.075513174,-0.018512404,-0.017006305,-0.012044344,164.941,-11.8,0.086,486.0,-0.5912,-2.2645,-1.2388,238,0.7,-239,-16.8,-54,-139,-29,-49,-24.7,-60,-0.1,0.1,62,6,20,1788,-10686,-15330,5.9,21.4,21900,53900,-22.185,37.8305,7.94357,0.03,0.02,-0.05,-0.05,0.27,-0.0405,-2.2755,0.0706,-0.0714,0.6,1.0,7.2,-0.144,1.282,0.246,-0.145,-1501.1,-6210.47,29.213,-0.16,0.101,0.01,0.04
1.06.2009,119.5763636,-9.760479055,-6.822119888,2.147757454,44.38954545,42.86818182,42.06136364,38.82545455,35.94318182,33.77409091,70.58181818,69.09909091,70.49636364,72.505,-5.168181818,-5.335,-6.07,-6.146363636,1.397272727,2.008636364,3.405909091,34.6290664,36.04606193,44.20912109,1.177844941,0.866315034,0.985903997,0.723778709,0.809030542,81.10958862,0.839,94.6027,95.2093,9.5,3114,4052,3488,598250,39.6,-10.9,3.72,-0.03,0.1,0.3,2.5,3.51,5.4,29.14,2.1,-0.049062801,-0.013613664,-0.011185714,-0.006868122,-223.586,-83.1,0.026,-1784.0,-0.3253,-0.6422,0.7152,-31,1.5,-233,-8.1,-90,-107,-29,-58,-23.5,-41,0.1,0.0,45,24,-8,-2222,-12983,-17881,41.3,-28.0,-91400,-6400,-33.1101,-17.9006,-14.92212,0.03,0.0,0.01,0.01,0.58,-0.0267,-0.03,0.0951,-0.0264,4.2,2.3,5.2,0.238,0.818,0.333,-0.058,-3420.95,-11621.05,49.1328,-0.012,0.175,0.04,0.1
1.07.2009,114.9963636,-7.977205507,-9.703631824,-9.182744249,48.17782609,47.3773913,46.47652174,42.94869565,39.27521739,35.48913043,66.57652174,65.64652174,66.8226087,69.00434783,-7.066086957,-7.293913043,-6.658695652,-6.06173913,1.176086957,2.18173913,3.357826087,40.20062058,37.67375948,37.29377749,1.151192928,0.848528031,0.966801176,0.731729647,0.810472619,83.43962097,0.332258065,95.8736,95.7332,9.5,3137,3505,2923,566500,39.9,1.7,3.56,0.02,0.11,0.32,2.3,3.4,5.25,26.16,-4.8,-0.020350874,-0.007068054,-0.011281529,-0.00273203,-47.616,-49.4,0.316,16635.0,-0.7603,0.9533,-1.0132,-214,1.2,-144,-7.4,-78,-36,-22,-101,-25.3,-55,0.3,0.2,9,-19,2,6658,-9267,-15922,3.7,3.3,-10100,58600,-40.8807,-21.5276,2.30931,-0.05,0.0,-0.04,-0.03,-0.25,-0.0029,-2.2475,0.0009,-0.0035,-2.6,-0.6,4.8,-0.292,0.824,-0.059,-0.525,-1471.49,-3802.01,16.6628,0.163,0.262,0.09,0.06
1.08.2009,118.3442857,-5.92124036,-6.23025453,-8.0312433,46.089,46.5465,46.651,43.3805,39.8605,36.087,74.345,73.173,74.411,76.38,-5.7305,-5.923,-6.9115,-7.131,1.238,1.969,3.207,40.16775964,40.31624547,38.6197567,1.09561607,0.802701455,0.927461708,0.698918464,0.7888261,73.37187958,1.019677419,96.7177,96.9302,9.6,2940,3927,2791,559200,40.0,-0.41,3.59,0.01,0.1,0.3,2.41,3.43,5.1,25.34,-0.3,-0.039918727,-0.010958065,-0.015817058,-0.006451421,-22.578,-24.7,0.856,654.0,0.8371,0.8334,-0.5465,-195,0.2,-127,-8.9,-77,-33,-9,-37,-17.3,16,0.1,0.0,-8,8,1,3798,-6856,-17006,-2.5,-13.2,37200,67700,-31.8901,-24.8503,-0.55665,0.0,-0.01,-0.01,-0.02,0.11,-0.0097,0.5301,0.0154,-0.0357,3.3,2.7,15.8,0.252,1.09,-0.795,-0.419,-577.2,-3949.48,26.7637,0.599,0.338,0.06,-0.01
1.09.2009,118.9,-3.928884679,-5.606556942,-5.696773458,45.75409091,46.65181818,46.53818182,44.28454545,40.75090909,37.90818182,69.55818182,68.17318182,69.72409091,71.63272727,-4.952727273,-5.331818182,-5.645909091,-6.435,1.550909091,1.908636364,3.459545455,41.82520623,41.04526124,40.84140836,1.072029204,0.771795603,0.897758062,0.68116293,0.775640559,92.83998871,0.767333333,97.5209,97.177,9.8,2841,3775,2908,547500,40.0,-1.04,3.4,-0.03,0.06,0.25,2.22,3.25,4.98,24.93,7.8,-0.018489722,-0.006215136,-0.014850095,-0.005080191,32.769,-6.5,-0.886,1354.0,-0.108,0.5008,2.3092,-480,1.3,-108,-5.3,-68,-29,-6,-54,-16.8,-86,-0.2,0.1,-1,-3,-10,552,-11551,-6121,4.9,-7.9,90400,118500,-25.8402,-48.3816,-1.40985,-0.01,-0.05,-0.05,-0.06,-0.2,-0.0292,-3.6223,-0.0209,-0.0056,-0.5,0.5,13.8,0.543,1.268,0.258,0.275,-2546.39,-8758.08,4.3057,0.776,0.317,-0.02,-0.2
