date;AvgSKEW;ATM180;ATM270;ATM30;ATM360;ATM60;ATM90;brent;CO1;CO3;CO6;RV30;RV60;RV90;RR_30;RR_60;RR_90;RR_180;RR_270;RR_360;log_ret
1.12.2008;115.75;63.06315789;55.05631579;93.52315789;46.83526316;83.15;76.86263158;47.31736842;43.88052632;48.37684211;52.88578947;91.03380253;88.27605717;84.12734746;1.75631579;-1.6468421;-2.64842106;-2.27736842;-1.75526316;3.12578947;1.861425581
1.01.2009;119.7875;59.23666667;50.70714286;83.08571429;46.09095238;75.71809524;69.72761905;49.38952381;45.69380952;50.07809524;53.86047619;84.30529466;87.95818015;87.3871845;-5.99238095;-5.45952381;-5.12238095;-4.68095238;-4.03809524;-1.3852381;-2.563119501
1.02.2009;119.9715789;51.9805;46.644;72.8135;42.1905;63.9225;59.717;46.559;43.85;46.69;49.465;53.90223235;71.39268985;78.5601886;-5.838;-5.02;-4.9615;-3.881;-3.622;-1.619;2.905124836
1.03.2009;114.7290909;52.90454545;46.50227273;71.86772727;41.775;65.59954545;62.37318182;49.78;47.28636364;49.77045455;52.21772727;70.37829703;63.18804392;71.25295475;-6.19181818;-5.18818181;-5.38454545;-3.72136364;-2.63636363;-2.99454546;2.999811908
1.04.2009;112.6257143;48.3415;44.685;63.619;40.376;58.0395;55.506;53.34;51.18;53.411;56.2965;63.08271013;67.47231227;63.43366571;-5.646;-5.661;-5.9125;-4.8695;-3.622;-2.545;5.119346857
1.05.2009;117.002;40.25368421;37.31684211;53.36894737;34.67736842;48.92052632;43.85736842;60.01315789;57.99684211;59.78052632;62.10473684;38.49158857;52.20079508;59.47434531;-5.85684211;-5.66526316;-6.18105263;-6.31052632;-6.06157895;-5.97315789;7.044636162
1.06.2009;119.5763636;38.82545455;35.94318182;44.38954545;33.77409091;42.86818182;42.06136364;70.58181818;69.09909091;70.49636364;72.505;34.87011492;36.66164114;47.00026108;-5.16818181;-5.335;-6.07;-6.14636363;-5.39954546;-4.80181818;-2.537173965
1.07.2009;114.9963636;42.94869565;39.27521739;48.17782609;35.48913043;47.3773913;46.47652174;66.57652174;65.64652174;66.8226087;69.00434783;35.02001762;34.92670092;35.83110461;-7.06608696;-7.29391305;-6.65869566;-6.06173914;-4.49;-4.81086956;4.793066389
1.08.2009;118.3442857;43.3805;39.8605;46.089;36.087;46.5465;46.651;74.345;73.173;74.411;76.38;36.58991174;35.83158333;35.51452432;-5.7305;-5.923;-6.9115;-7.131;-6.788;-5.3685;-2.890354433
1.09.2009;118.9;44.28454545;40.75090909;45.75409091;37.90818182;46.65181818;46.53818182;69.55818182;68.17318182;69.72409091;71.63272727;36.00764465;36.21358928;35.9751898;-4.95272727;-5.33181818;-5.64590909;-6.435;-8.04772727;-7.455;2.6776465
1.10.2009;119.0613636;44.39117647;41.45705882;44.79;39.07352941;45.92470588;45.94235294;73.98176471;72.49470588;74.01529412;75.98764706;40.50079611;37.94407466;37.66373262;-2.78705883;-3.20705882;-3.89117647;-5.43941176;-6.05823529;-5.56352941;2.498821477
1.11.2009;119.604;39.39666667;37.14333333;39.22666667;38.65333333;40.62666667;39.43;78.36333333;77.13333333;78.71;80.76333333;32.31771055;33.84256743;36.06634466;-2.84;-2.03666667;-2.24;-6.55666667;-2.93;-3.68666667;1.000731224
1.12.2009;122.3663636;41.40666667;37.4;38.07666667;39.24666667;39.51666667;43.53;80.19;78.56666667;80.20666667;82.35666667;28.14935203;30.80802152;35.49174014;-3.30666667;-3.98666666;-8.07666667;-2.62;-6.64666667;-2.93333333;-1.735884362
1.01.2010;121.7089474;33.85733333;33.21;32.86;31.87066667;33.99466667;34.11266667;77.048;76.31266667;77.628;79.53;20.44597692;22.88290607;26.41474115;-3.09333334;-3.528;-4.23066667;-4.30866666;-4.738;-4.354;-0.077502927
1.02.2010;119.5073684;31.84125;31.5375;32.95875;30.444375;32.668125;32.744375;76.910625;75.34125;76.375625;77.928125;32.92365021;27.80959239;27.08562695;-3.5775;-4.280625;-4.889375;-4.674375;-5.041875;-4.53875;2.124503954
1.03.2010;120.7495652;30.77304348;30.31130435;30.00565217;29.06913043;30.62826087;30.93347826;80.76652174;79.70913043;80.56652174;81.65869565;25.96874139;29.54321613;27.09544379;-2.70869566;-3.24608695;-3.61217392;-4.26086957;-4.71391305;-4.85478261;3.283414081
1.04.2010;126.4042857;29.955;29.4835;28.199;28.6985;28.638;28.9165;87.1095;85.604;86.96;88.241;20.93651043;22.89361561;27.02549858;-2.0315;-2.997;-3.129;-3.5985;-4.4375;-3.922;-4.838870999
1.05.2010;125.0165;34.88277778;33.565;38.36277778;32.12944444;36.65777778;35.26;77.925;76.63;78.41166667;80.30277778;31.28491596;26.73875242;25.98357122;-4.31722222;-4.74277778;-4.89555556;-4.96666667;-4.655;-4.93111111;-0.658299465
