date,RV30,RV60,RV90,FinancialUncertaintyH1,MacroUncertaintyH1,MacroUncertaintyH3,RealUncertaintyH1,GPR,InfectEMVIndex,VIXCLS,MichiganConsumer,FinancialUncertaintyH3,FinancialUncertaintyH12
1.04.1992,28.17934202,25.93729012,26.17099267,0.785752477,0.574315161,0.707234031,0.556747284,85.85562134,0.166666667,16.56,1.2,-0.017822711,-0.00634843
1.05.1992,16.82423422,23.47596889,23.46399509,0.765684308,0.567301321,0.699641044,0.553269222,78.96814728,0,15.08,2,-0.01588139,-0.005663476
1.06.1992,20.36701817,19.01541256,22.4625251,0.764194651,0.563676505,0.696522634,0.552737964,93.84909058,0.245,15.2,1.2,-0.001777438,-0.001566305
1.07.1992,20.23909944,20.24602634,19.44426463,0.751165358,0.568090094,0.698903609,0.564680127,75.19676971,0.278064516,13.6,-3.8,-0.010176811,-0.00329806
1.08.1992,14.29583314,17.66022162,18.51843723,0.741471329,0.568178116,0.697820923,0.572321646,81.64519501,0.147741935,14.42,-0.5,-0.007967627,-0.002944023
1.09.1992,10.02824104,12.34811544,15.47391753,0.726007074,0.573093215,0.700824781,0.576198431,74.60971832,0.338,13.7,-0.5,-0.01250482,-0.004189838
1.10.1992,11.09566215,10.53120428,11.80751159,0.723066681,0.57904478,0.705083677,0.580492515,68.1827774,0.258387097,17.64,-2.3,-0.002794783,-0.00133181
1.11.1992,15.94151318,13.76435902,12.61686901,0.731104987,0.572677311,0.699615588,0.569570057,91.00899506,0.144,14.42,12,0.005551647,0.00095319
1.12.1992,21.04898496,18.67782054,16.56058009,0.719965065,0.582837715,0.699732221,0.587857074,83.4209671,0.238709677,12.19,5.7,-0.009306775,-0.003333136
1.01.1993,19.28563361,20.20314418,18.8778895,0.714702852,0.584602411,0.699549236,0.59172357,128.9180756,0.448709677,12.41,-1.7,-0.004480439,-0.001724866
1.02.1993,22.04639369,20.64647399,20.70944091,0.712063839,0.567969508,0.691519216,0.570502338,90.46806335,0.354285714,13.72,-2.7,-0.002312167,-0.000686378
1.03.1993,19.94690558,20.93342943,20.51303858,0.709774368,0.562711705,0.688202155,0.567404121,94.24144745,0.524193548,13.61,-0.7,-0.002107807,-0.000965618
1.04.1993,15.94317165,18.11453554,19.49225595,0.710274718,0.555712673,0.68168189,0.552280744,112.7216644,0.214666667,12.84,-0.3,0.000563562,0.000445448
1.05.1993,12.8332269,14.66742183,16.70207964,0.698040287,0.547901732,0.674379572,0.53966259,110.7297516,0.316129032,13.61,-5.3,-0.009543705,-0.002883949
1.06.1993,15.77851249,14.47822985,15.18679107,0.683594954,0.535636821,0.665193805,0.52619637,104.1952515,0.223,12.52,1.2,-0.011332891,-0.00344234
1.07.1993,20.4178729,18.40146821,16.76604075,0.676224038,0.526402107,0.657701355,0.518667046,123.3147888,0.219354839,11.5,-4.5,-0.005904005,-0.002048512
1.08.1993,16.64507025,18.6856408,17.93734415,0.678505084,0.527028567,0.658795724,0.520136961,97.24167633,0.366451613,11.93,0.3,0.002035702,0.000551361
1.09.1993,20.03223356,18.4936368,19.16536275,0.676390276,0.536382882,0.665395646,0.53469303,89.16477966,0,12.93,0.6,-0.001641516,-0.000609691
1.10.1993,22.02402896,21.20796873,19.8010738,0.683936807,0.541557537,0.670840292,0.535973465,106.1659088,0.261935484,11.88,4.8,0.005849365,0.001501879
1.11.1993,22.74309356,22.42436088,21.80091787,0.693747521,0.541876319,0.670799872,0.536967693,83.48017883,0.059666667,14.08,-1.5,0.007618474,0.001850008
1.12.1993,34.11174366,29.1650966,27.0680631,0.696496825,0.567859532,0.686203402,0.571537773,79.55179596,0.215806452,11.36,7,0.002196356,0.000487824
1.01.1994,36.46667505,35.80043966,32.06208096,0.699892955,0.577642266,0.696768651,0.578633664,83.48997498,0.402903226,11.29,6.1,0.003048399,0.001236784
1.02.1994,30.41726752,33.9076806,34.02633261,0.706990108,0.570742951,0.697382364,0.569648194,117.2420654,0.256428571,13.64,-1.1,0.005813116,0.002004506
1.03.1994,27.20582622,28.97692324,31.77716273,0.718987129,0.570455763,0.699584191,0.569108751,93.47403717,0.173225806,15.22,-1.7,0.008988964,0.00220655
1.04.1994,41.98605744,35.05046182,33.58490768,0.697325012,0.555285079,0.688595904,0.538807874,95.35697174,0.129666667,16.47,1.1,-0.016794569,-0.00488947
1.05.1994,29.59183783,36.09282745,33.19032033,0.691360483,0.548673532,0.683657088,0.519762237,104.4667892,0.139677419,13.9,0.2,-0.004574353,-0.001232388
1.06.1994,22.50662723,26.44340837,32.06729085,0.692705445,0.543022145,0.678338554,0.510992843,120.3522415,0.271,13.41,-1.6,0.001239409,0.000718967
1.07.1994,26.29245445,24.45710509,26.29000629,0.688696523,0.541434632,0.677057885,0.507671153,99.6402359,0.037741935,12.48,-2.2,-0.003239183,-0.000870344
1.08.1994,31.91324209,29.37662351,27.27901544,0.692599246,0.541938928,0.677490805,0.514771716,98.22702789,0.309677419,11.89,2.7,0.002920543,0.000863129
1.09.1994,26.28315699,29.44988147,28.68980292,0.689188818,0.542819877,0.677595898,0.514227648,98.89848328,0.050666667,13.23,-0.2,-0.00281359,-0.000973576
1.10.1994,22.36895225,24.44101536,27.24643003,0.689016596,0.545004477,0.680179661,0.524283242,94.85363007,0.294516129,15.25,1.2,-0.00071403,-0.00076381
1.11.1994,23.40256133,22.93882537,24.0821274,0.698889339,0.54304407,0.679627291,0.521642841,86.52980804,0.387,16.38,-1.1,0.007235033,0.001655196
1.12.1994,25.50383283,24.54935511,23.89181067,0.682520645,0.549430122,0.684949233,0.527116386,96.04750061,0.194516129,14.18,3.5,-0.013525259,-0.004624995
1.01.1995,22.54197932,24.10948675,23.89390459,0.673780817,0.552485179,0.688274621,0.53454647,80.15467834,0.24483871,12.27,2.5,-0.006984498,-0.002192742
1.02.1995,20.22084295,21.45556129,22.93002349,0.670675979,0.562523548,0.696285647,0.551074242,76.87532806,0.123214286,11.47,-2.5,-0.002422933,-0.000767519
1.03.1995,16.49970222,18.4519641,19.94386687,0.661405112,0.561309758,0.693885795,0.556185054,82.2444458,0.269677419,12.17,-4.8,-0.007336761,-0.002240284
1.04.1995,21.81078055,19.36816432,19.83303858,0.661806404,0.565052521,0.695273262,0.567248688,99.19087982,0.105,12.44,2.2,0.000218698,-0.000103579
1.05.1995,28.18475644,25.28545592,22.75768334,0.667850886,0.563193491,0.694325633,0.56791675,87.8425293,0.260645161,12.27,-2.7,0.004907601,0.001607693
1.06.1995,23.83654231,26.18110937,24.95632214,0.681545436,0.553598096,0.68745684,0.564811594,104.6077576,0.326,11.9,2.9,0.010280379,0.002675526
1.07.1995,23.89534844,24.10648324,25.49895674,0.691106647,0.553047773,0.687037656,0.573494782,107.6454163,0.53483871,12.51,1.7,0.006610916,0.00161814
1.08.1995,17.97990454,21.10705083,22.2646578,0.686591072,0.5562145,0.689512774,0.579460231,106.9347839,0.175806452,12.8,1.8,-0.002454296,-0.000112549
1.09.1995,16.56797574,17.26940523,19.65520027,0.694099262,0.547019762,0.682542354,0.562504341,71.20516968,0.315333333,12.06,-7.3,0.006425979,0.002486803
1.10.1995,19.48838347,18.17020486,18.03579714,0.708957933,0.550633146,0.685605307,0.561139113,67.74150085,0.120322581,14.36,1.3,0.011642363,0.003531262
1.11.1995,14.87998633,17.36349559,17.19572632,0.703153352,0.562294427,0.694789369,0.564630838,76.33349609,0.124333333,12.47,-2,-0.003595013,-3.02E-05
1.12.1995,15.62886075,15.1842356,16.85438576,0.689557833,0.572467979,0.70417151,0.586047366,65.67205811,0.34516129,11.75,2.8,-0.010473894,-0.002705499
1.01.1996,25.66099383,21.31842505,19.5086773,0.686012424,0.594461105,0.722882452,0.622830066,75.63492584,0.470322581,13.47,-1.7,-0.002716162,-0.000479973
1.02.1996,27.04072723,26.69029898,23.61612517,0.692600246,0.606613262,0.731492508,0.643162911,80.42092133,0.394482759,15.03,-0.8,0.005250788,0.001936829
1.03.1996,28.46282944,27.86246292,27.33748976,0.706061634,0.591794068,0.72022292,0.61489485,82.14761353,0.340645161,17.76,5.2,0.011100098,0.004222324
1.04.1996,49.40733603,40.31343317,36.5566738,0.731237009,0.571828518,0.704566199,0.588118109,84.82862091,0.305,16.58,-1,0.019549797,0.006331677
1.05.1996,47.44476953,48.92198497,43.12849495,0.754343388,0.556081061,0.691260402,0.55876707,65.53082275,0.192903226,16.15,-3.3,0.018599954,0.006419186
1.06.1996,32.8668385,41.11549246,44.26921125,0.787140303,0.547347877,0.683841725,0.542490634,69.0885849,0.351,16.4,3,0.026324622,0.008923346
1.07.1996,28.34790455,30.62907115,37.14719814,0.82442863,0.543558868,0.679700306,0.534591797,80.64431763,0.201612903,17.98,2.3,0.029937919,0.010300045
1.08.1996,27.13630131,27.81039514,29.3661519,0.815026456,0.543092149,0.677537412,0.531728781,81.68764496,0.521935484,15.76,0.6,-0.005973493,-0.000234466
1.09.1996,36.0685924,31.95117983,30.86789416,0.800046863,0.541563382,0.67608055,0.528852227,88.19697571,0.170666667,16.58,-0.6,-0.010099974,-0.001123262
1.10.1996,38.31393411,37.60122394,34.63580494,0.797255933,0.542730567,0.67720137,0.532608001,55.58683014,0.221290323,16.38,1.8,-0.00141079,0.000769011
1.11.1996,30.57196329,34.55253396,35.43086351,0.802880042,0.542510227,0.677461803,0.53100499,57.34461212,0.146666667,16,2.7,0.005334074,0.002684168
1.12.1996,30.47034709,30.59224379,33.41863864,0.79937005,0.543242901,0.677767859,0.529425717,74.9826355,0.232580645,19.26,-2.3,-0.002166614,0.000232026
1.01.1997,26.19693101,28.48031155,29.26817579,0.81098316,0.545095139,0.679063696,0.53297682,54.06243515,0.22,19.47,0.5,0.009286412,0.00335726
1.02.1997,29.1725294,28.12154324,28.98875585,0.824638808,0.547835887,0.681625582,0.536179052,50.55994034,0.476428571,20.14,2.3,0.011244745,0.004105113
1.03.1997,30.3067195,29.48384792,28.76458712,0.849901645,0.543496152,0.678150499,0.526090886,58.48006058,0.319032258,20.17,0.3,0.019844874,0.006175702
1.04.1997,27.1396718,28.81571339,28.77720027,0.86642686,0.546949279,0.679771418,0.527365358,62.84448624,0.471333333,19.66,1.4,0.013121095,0.004129232
1.05.1997,26.72540067,26.99877732,28.1392852,0.89869424,0.544655573,0.678132486,0.526268075,53.57601547,0.372580645,19.92,1.8,0.024288272,0.006688345
1.06.1997,32.03419666,29.56666306,28.79313447,0.890073015,0.543568872,0.676093032,0.53109443,39.04562378,0.41,20.19,1.3,-0.005256407,-0.000304242
1.07.1997,29.7091003,30.98307148,29.60176995,0.896811643,0.548237676,0.679581012,0.541448866,47.69842529,0.350645161,20.53,2.6,0.006192731,0.003097805
1.08.1997,24.66871436,27.42989842,29.12817741,0.897443969,0.557917489,0.68702363,0.561381133,48.58229828,0.267741935,23.08,-2.7,0.000828838,0.000812843
1.09.1997,22.00965022,23.5063452,25.82688529,0.909933698,0.550814875,0.681556381,0.556974548,42.68908691,0.292666667,23.81,1.6,0.009070599,0.002470097
1.10.1997,30.63111776,26.79364232,26.19919311,0.903224955,0.54847508,0.679587404,0.557122443,49.74630737,1.869677419,23.87,-0.4,-0.004454278,-0.00040997
1.11.1997,28.38513433,29.9150247,27.47890756,0.88495632,0.549849352,0.681083595,0.554800048,59.69337082,1.782,32.21,1.6,-0.013493332,-0.003312125
1.12.1997,30.68876505,29.89748986,30.1096609,0.88497391,0.551730339,0.683471642,0.552426504,43.99826813,1.321935484,26.28,-5.1,1.04E-06,0.000128078
1.01.1998,28.93288833,29.97302165,29.69553561,0.899828131,0.558644547,0.688910234,0.553687829,53.09630203,2.282258065,23.87,4.5,0.011334325,0.003269463
